Raider Success rate,,,
Raider Name,Total Raids,Successful Raids,
Rahul Chaudhari,412,163,40%
Nilesh Salunke,247,80,32%
Vikas,86,26,30%
Mohsen Maghsoudlou,83,27,33%
Rakesh Kumar,43,7,16%
Vinoth Kumar,23,5,22%
Elangeshwaran R,23,7,30%
Rakshith,22,11,50%
Farhad Milaghardan,18,5,28%
Vishal Bhardwaj,5,0,0%
Vikrant,5,1,20%
Munish,4,0,0%
,,,
Attacking Skill,Successful Raids,,
Hand Touch,5,,
Running Hand Touch,2,,
Toe Touch,1,,
,,,
Defensive Skill,Unsuccessful Raids,,
Push,25,,
Thigh Hold,2,,
Dive,1,,
Block,1,,
