Counter Action Skill,Unnamed: 1,Unnamed: 2,Successful Raids,Unnamed: 4,Unnamed: 5
Release,,,,104,
Struggle,,,25,,
Out Turn,,14,,,
Jump,9,,,,
In Turn,6,,,,
Create Gap,4,,,,
Dubki,0,,,,
Raider Success rate,,,,,
Raider Name,Total Raids,Successful Raids,,Color % Successful Raids,
Maninder Singh,377,163,43%,,
Jang Kun Lee,171,63,37%,0.000,1.0
Mahesh Goud,92,27,29%,,
Ravindra Ramesh Kumaw..,91,30,33%,,
Ran Singh,72,23,32%,,
Surjeet Singh,54,2,4%,,
Amit Nagar,36,15,42%,,
Bhupender Singh,20,6,30%,,
Rakesh Narwal,16,5,31%,,
Mithin Kumar,10,2,20%,,
Shrikant Tewthia,9,2,22%,,
Amit Kumar,7,1,14%,,
Amaresh Mondal,3,0,0%,,
Vijin Thangadurai,2,0,0%,,
Baldev Singh,1,0,0%,,
Ashish Chhokar,1,0,0%,,
Adarsh T,1,1,100%,,
Attacking Skill,,,,Successful Raids,
Running Hand Touch,,,,,57.0
Hand Touch,,,,29,
Leg Thrust,,,,24,
Toe Touch,,,,23,
Defender self out,,,,16,
Reverse Kick,,,9,,
Side Kick,,6,,,
Running Kick,1,,,,
Defensive Skill,,Unsuccessful Raids,,,
Dive,,,44,,
Ankle Hold,,37,,,
Thigh Hold,,33,,,
Block,,33,,,
Push,,20,,,
Self-out,,11,,,
Body Hold,,8,,,
Follow,1,,,,
