Counter Action Skill,Unnamed: 1,Unnamed: 2,Successful Raids,Unnamed: 4,Unnamed: 5
Release,,,,75,
Struggle,,,25,,
Out Turn,,,24,,
Jump,,8,,,
In Turn,,7,,,
Create Gap,,6,,,
Dubki,1,,,,
Raider Success rate,,,,,
Raider Name,Total Raids,Successful Raids,,Color % Successful Raids,
Vikash Khandola,347,141,41%,,
Monu Goyat,301,131,44%,0.000,1.0
Naveen,193,75,39%,,
Mayur Shivtarkar,36,1,3%,,
Anand Surendra Tomar,20,7,35%,,
Wazir Singh,10,2,20%,,
Prateek,8,1,13%,,
Parveen,7,1,14%,,
Bhuvneshwar Gaur,7,3,43%,,
Arun Kumar HN,5,1,20%,,
Sunil,3,0,0%,,
Sachin Shingade,2,0,0%,,
Kuldeep Singh,2,0,0%,,
Attacking Skill,,,Successful Raids,,
Running Hand Touch,,,,58,
Hand Touch,,,41,,
Leg Thrust,,,27,,
Toe Touch,,,23,,
Defender self out,,,13,,
Reverse Kick,,9,,,
Side Kick,2,,,,
Running Kick,0,,,,
Defensive Skill,,Unsuccessful Raids,,,
Dive,,,46,,
Block,,,45,,
Thigh Hold,,39,,,
Ankle Hold,,33,,,
Push,,30,,,
Body Hold,,19,,,
Self-out,,10,,,
Chain_def,2,,,,
