Counter Action Skill,Unnamed: 1,Successful Raids,Unnamed: 3,Unnamed: 4,Unnamed: 5
Release,,,97,,
Struggle,,17,,,
Out Turn,,17,,,
Jump,3,,,,
In Turn,2,,,,
Dubki,1,,,,
Create Gap,1,,,,
Raider Success rate,,,,,
Raider Name,Total Raids,Successful Raids,,Color % Successful Raids,
Deepak Hooda,367,164,45%,,
Ajinkya Ashok Pawar,163,59,36%,0.000,1.0
Anup Kumar,127,30,24%,,
Selvamani K,82,27,33%,,
Nitin Rawal,57,20,35%,,
Anand Patil,52,9,17%,,
Amit Kumar,35,10,29%,,
Ajit Singh,19,7,37%,,
Sunil Siddhgavali,15,4,27%,,
Lokesh Kaushik,11,2,18%,,
Gangadhari Mallesh,9,1,11%,,
David Mosambayi,6,1,17%,,
Mohit Chhillar,4,0,0%,,
Santhapanaselvam,1,0,0%,,
Sandeep Dhull,1,0,0%,,
Attacking Skill,Successful Raids,,,,
Running Hand Touch,,73,,,
Hand Touch,35,,,,
Toe Touch,18,,,,
Leg Thrust,11,,,,
Side Kick,8,,,,
Defender self out,7,,,,
Reverse Kick,9,,,,
Defensive Skill,Unsuccessful Raids,,,,
Block,,57,,,
Dive,41,,,,
Thigh Hold,34,,,,
Ankle Hold,29,,,,
Push,24,,,,
Body Hold,15,,,,
Self-out,12,,,,
