Counter Action Skill,Unnamed: 1,Successful Raids,Unnamed: 3,Unnamed: 4,Unnamed: 5
Release,,,97,,
Out Turn,,30,,,
Struggle,,21,,,
Dubki,10,,,,
Jump,6,,,,
In Turn,6,,,,
Create Gap,1,,,,
Raider Success rate,,,,,
Raider Name,Total Raids,Successful Raids,,Color % Successful Raids,
Pardeep Narwal,391,192,49%,,
Manjeet,189,78,41%,0.000,1.0
Deepak Narwal,140,58,41%,,
Vijay,111,50,45%,,
Vikas Jaglan,42,13,31%,,
Tushar Patil,38,13,34%,,
Jaideep,8,0,0%,,
Jawahar Dagar,5,1,20%,,
Vikas Kale,4,0,0%,,
Vijay Kumar,2,1,50%,,
Tae Deok Eom,2,0,0%,,
Surender Singh,1,0,0%,,
Kuldeep Singh,1,0,0%,,
Attacking Skill,,,Successful Raids,,
Running Hand Touch,,,,95,
Hand Touch,,,43,,
Leg Thrust,,,30,,
Defender self out,,13,,,
Toe Touch,,13,,,
Side Kick,3,,,,
Reverse Kick,4,,,,
Running Kick,3,,,,
Defensive Skill,,Unsuccessful Raids,,,
Dive,,,49,,
Thigh Hold,,42,,,
Block,,39,,,
Ankle Hold,,38,,,
Body Hold,,20,,,
Push,,15,,,
Self-out,,8,,,
Follow,1,,,,
