Counter Action Skill,Unnamed: 1,Unnamed: 2,Successful Raids,Unnamed: 4,Unnamed: 5
Release,,,,48,
Out Turn,,,26,,
Struggle,,,21,,
Jump,,,13,,
In Turn,,5,,,
Dubki,2,,,,
Create Gap,1,,,,
Raider Success rate,,,,,
Raider Name,Total Raids,Successful Raids,,Color % Successful Raids,
Nitin Tomar,192,90,47%,,
More G B,173,60,35%,0.000,1.0
Monu,123,39,32%,,
Akshay Jadhav,108,26,24%,,
Deepak Kumar Dahiya,88,26,30%,,
Sandeep Narwal,86,17,20%,,
Rajesh Mondal,75,13,17%,,
Parvesh,30,5,17%,,
Amit Kumar,29,5,17%,,
Shubham Shinde,11,0,0%,,
Sandeep,9,4,44%,,
Girish Maruti Ernak,8,0,0%,,
Rinku Narwal,7,1,14%,,
Ravi Kumar,1,0,0%,,
Attacking Skill,,Successful Raids,,,
Running Hand Touch,,,34,,
Hand Touch,,27,,,
Toe Touch,,19,,,
Defender self out,,15,,,
Reverse Kick,6,,,,
Leg Thrust,,12,,,
Side Kick,5,,,,
Running Kick,4,,,,
Defensive Skill,,Unsuccessful Raids,,,
Dive,,,52,,
Block,,,52,,
Thigh Hold,,32,,,
Ankle Hold,,31,,,
Body Hold,,21,,,
Push,,18,,,
Self-out,,11,,,
Chain_def,2,,,,
Follow,1,,,,
