Counter Action Skill,Unnamed: 1,Unnamed: 2,Successful Raids,Unnamed: 4,Unnamed: 5
Release,,,,49,
Out Turn,,,19,,
Struggle,,,17,,
Jump,,,17,,
In Turn,,9,,,
Create Gap,,9,,,
Dubki,3,,,,
Raider Success rate,,,,,
Raider Name,Total Raids,Successful Raids,,Color % Successful Raids,
Ajay Thakur,388,180,46%,,
Sukesh Hegde,176,50,28%,0.000,1.0
Jasvir Singh,117,34,29%,,
Athul MS,105,46,44%,,
Surjeet Singh,45,10,22%,,
Manjeet Chhillar,29,5,17%,,
D. Pradap,17,5,29%,,
Anand,17,7,41%,,
Vimal Raj V,10,2,20%,,
Victor Obiero,7,4,57%,,
K. Jayaseelan,3,0,0%,,
C. Arun,3,0,0%,,
Anil Kumar,3,0,0%,,
Sunil,2,0,0%,,
Amit Hooda,2,0,0%,,
Darshan J.,1,0,0%,,
Attacking Skill,Successful Raids,,,,
Running Hand Touch,,91,,,
Hand Touch,56,,,,
Leg Thrust,14,,,,
Toe Touch,10,,,,
Reverse Kick,7,,,,
Defender self out,6,,,,
Side Kick,3,,,,
Defensive Skill,,Unsuccessful Raids,,,
Block,,,41,,
Ankle Hold,,37,,,
Push,,28,,,
Dive,,28,,,
Thigh Hold,,24,,,
Body Hold,,24,,,
Self-out,,16,,,
Follow,2,,,,
Chain_def,1,,,,
