Counter Action Skill,Unnamed: 1,Successful Raids,Unnamed: 3,Unnamed: 4,Unnamed: 5
Release,,,124,,
Out Turn,,34,,,
Struggle,,32,,,
Jump,6,,,,
Dubki,6,,,,
In Turn,5,,,,
Create Gap,5,,,,
Raider Success rate,,,,,
Raider Name,Total Raids,Successful Raids,,Color % Successful Raids,
Maninder Singh,318,172,54%,,
Mohammad Esmaeil Nabi..,232,80,34%,0.000,1.0
K. Prapanjan,205,77,38%,,
Sukesh Hegde,142,44,31%,,
Rakesh Narwal,27,13,48%,,
Sourabh Tanaji Patil,26,15,58%,,
Ravindra Ramesh Kumaw..,17,6,35%,,
Mohammad Taghi Paein ..,11,4,36%,,
Baldev Singh,7,1,14%,,
Avinash A. R.,4,2,50%,,
Rinku Narwal,3,0,0%,,
Sunil Manik Dubile,2,0,0%,,
Attacking Skill,,,Successful Raids,,
Running Hand Touch,,,,84,
Hand Touch,,,26,,
Toe Touch,,,18,,
Defender self out,,9,,,
Defender self out (lobby shirt pull),4,,,,
Running Kick,5,,,,
Leg Thrust,4,,,,
Reverse Kick,3,,,,
Side Kick,1,,,,
Defensive Skill,Unsuccessful Raids,,,,
Block,43,,,,
Thigh Hold,39,,,,
Dive,31,,,,
Ankle Hold,26,,,,
Push,17,,,,
Body Hold,14,,,,
Self-out,10,,,,
Chain_def,9,,,,
