Counter Action Skill,Unnamed: 1,Successful Raids,Unnamed: 3,Unnamed: 4,Unnamed: 5
Release,,,93,,
Out Turn,,30,,,
Struggle,,27,,,
Jump,,20,,,
Dubki,7,,,,
Create Gap,5,,,,
In Turn,4,,,,
Raider Success rate,,,,,
Raider Name,Total Raids,Successful Raids,,Color % Successful Raids,
Naveen Kumar,472,261,55%,,
Chandran Ranjit,262,91,35%,0.000,1.0
Vijay,107,38,36%,,
Meraj Sheykh,90,31,34%,,
Neeraj Narwal,19,5,26%,,
Aman Kadian,11,3,27%,,
Anil Kumar,6,1,17%,,
Sumit Kumar,3,0,0%,,
Sombir,3,1,33%,,
Balram,3,1,33%,,
Vishal Mane,2,0,0%,,
Saeid Ghaﬀari,1,0,0%,,
Ravinder Pahal,1,0,0%,,
Attacking Skill,,Successful Raids,,,
Running Hand Touch,,,61,,
Hand Touch,,49,,,
Toe Touch,,22,,,
Defender self out,,12,,,
Reverse Kick,,10,,,
Side Kick,6,,,,
Running Kick,6,,,,
Defender self out (lobby shirt pull),3,,,,
Defensive Skill,,Unsuccessful Raids,,,
Dive,,,54,,
Block,,40,,,
Thigh Hold,,33,,,
Ankle Hold,,22,,,
Push,,19,,,
Self-out,,15,,,
Body Hold,,13,,,
Chain_def,7,,,,
