Counter Action Skill,Unnamed: 1,Unnamed: 2,Successful Raids,Unnamed: 4,Unnamed: 5
Release,,,,85,
Out Turn,,,29,,
Struggle,,,25,,
Jump,,11,,,
Create Gap,4,,,,
In Turn,2,,,,
Dubki,2,,,,
Raider Success rate,,,,,
Raider Name,Total Raids,Successful Raids,,Color % Successful Raids,
Rohit Gulia,315,109,35%,,
Sachin,207,69,33%,0.000,1.0
More G B,161,49,30%,,
Sonu Jaglan,137,56,41%,,
Vinod Kumar,25,6,24%,,
Sunil Kumar,13,1,8%,,
Lalit Chaudhary,13,3,23%,,
Harmanjit Singh,13,6,46%,,
Abolfazl Maghsodloumah..,10,3,30%,,
Gurvinder Singh,7,3,43%,,
Ruturaj Shivaji Koravi,3,0,0%,,
Pankaj,2,0,0%,,
Attacking Skill,,,Successful Raids,,
Running Hand Touch,,,,41,
Hand Touch,,,21,,
Defender self out,,,9,,
Toe Touch,,,14,,
Side Kick,,,9,,
Reverse Kick,,6,,,
Running Kick,2,,,,
Leg Thrust,2,,,,
Defender self out (lobby shirt pull),0,,,,
Defensive Skill,,,Unsuccessful Raids,,
Dive,,,,59,
Thigh Hold,,,53,,
Block,,,38,,
Push,,,31,,
Ankle Hold,,,31,,
Self-out,,,14,,
Body Hold,,,9,,
Chain_def,,4,,,
Follow,1,,,,
