Counter Action Skill,Successful Raids,,
Release,108,,
Out Turn,29,,
Struggle,25,,
Jump,10,,
Dubki,2,,
Create Gap,2,,
In Turn,0,,
,,,
Raider Success rate,,,
Raider Name,Total Raids,Successful Raids,
Vikash Khandola,384,152,40%
Vinay,230,90,39%
Prashanth Kumar Rai,135,71,53%
Naveen,130,50,38%
Selvamani K,36,7,19%
Dharmaraj Cheralathan,18,1,6%
Ravi Kumar,11,0,0%
Vikas Chhillar,6,3,50%
Phonchoo Tin,5,1,20%
Arun Kumar HN,5,1,20%
Vikas Kale,4,0,0%
Vikram Kandola,1,0,0%
Chand Singh,1,1,100%
,,,
Attacking Skill,Successful Raids,,
Running Hand Touch,58,,
Hand Touch,34,,
Toe Touch,19,,
Reverse Kick,18,,
Defender self out,8,,
Side Kick,12,,
Defender self out (lobby shirt pull),2,,
Running Kick,0,,
Leg Thrust,1,,
,,,
Defensive Skill,Unsuccessful Raids,,
Dive,55,,
Block,46,,
Thigh Hold,35,,
Ankle Hold,26,,
Self-out,16,,
Push,15,,
Body Hold,13,,
Chain_def,6,,
Follow,3,,
