Counter Action Skill,Successful Raids,,
Release,79,,
Struggle,30,,
Out Turn,18,,
Jump,5,,
In Turn,4,,
Create Gap,4,,
Dubki,2,,
,,,
Raider Success rate,,,
Raider Name,Total Raids,Successful Raids,
Siddharth Sirish Desai,331,180,54%
Rakesh Gowda,114,41,36%
Suraj Desai,103,36,35%
Farhad Milaghardan,102,38,37%
Rajnish,98,35,36%
Amit Kumar,47,2,4%
Armaan,32,7,22%
Ankit Beniwal,26,10,38%
Vishal Bhardwaj,16,0,0%
Palle Mallikarjun,15,5,33%
Krushna Madane,12,0,0%
Kamal Singh,8,0,0%
Abozar Mighani,6,0,0%
C. Arun,4,1,25%
Mula Siva Ganesh Reddy,2,0,0%
,,,
Attacking Skill,Successful Raids,,
Toe Touch,31,,
Running Hand Touch,29,,
Running Kick,23,,
Hand Touch,19,,
Side Kick,11,,
Reverse Kick,11,,
Defender self out,8,,
Defender self out (lobby shirt pull),2,,
Leg Thrust,1,,
,,,
Defensive Skill,Unsuccessful Raids,,
Thigh Hold,53,,
Block,49,,
Dive,46,,
Ankle Hold,34,,
Push,17,,
Body Hold,14,,
Self-out,10,,
Chain_def,5,,
