Counter Action Skill,Successful Raids,,
Release,80,,
Struggle,41,,
Out Turn,16,,
Jump,11,,
In Turn,8,,
Create Gap,7,,
Dubki,5,,
,,,
Raider Success rate,,,
Raider Name,Total Raids,Successful Raids,
Rakesh Sungroya,297,118,40%
Ajay Kumar,163,61,37%
Pardeep Kumar,148,55,37%
Rakesh Narwal,147,57,39%
Mahendra Rajput,119,47,39%
Rathan K,21,3,14%
Hadi Oshtorak,16,3,19%
Sunil Kumar,15,1,7%
Bhuvneshwar Gaur,5,2,40%
Sonu Singh,4,0,0%
Maninder Singh,4,1,25%
Harmanjit Singh,1,0,0%
Girish Maruti Ernak,1,0,0%
,,,
Attacking Skill,Successful Raids,,
Running Hand Touch,30,,
Side Kick,22,,
Hand Touch,17,,
Defender self out (lobby shirt pull),8,,
Toe Touch,13,,
Reverse Kick,11,,
Running Kick,5,,
Leg Thrust,1,,
,,,
Defensive Skill,Unsuccessful Raids,,
Thigh Hold,46,,
Block,41,,
Ankle Hold,37,,
Dive,28,,
Push,21,,
Self-out,16,,
Chain_def,15,,
Body Hold,14,,
Follow,0,,
