Counter Action Skill,Successful Raids,,
Release,63,,
Struggle,40,,
Jump,20,,
Out Turn,13,,
Create Gap,8,,
Dubki,3,,
In Turn,1,,
,,,
Raider Success rate,,,
Raider Name,Total Raids,Successful Raids,
Vikash Kandola,356,147,41%
Meetu,192,67,35%
Rohit Gulia,113,43,38%
Ashish,102,43,42%
Vinay,96,48,50%
Jaideep,14,0,0%
Surender Nada,12,2,17%
Mohammad Esmaeil,6,1,17%
Rajesh Narwal,4,0,0%
Vijay Kumar,1,1,100%
Ravi Kumar,1,0,0%
Ajay Ghanghas,1,0,0%
,,,
Attacking Skill,Successful Raids,,
Running Hand Touch,55,,
Hand Touch,28,,
Toe Touch,18,,
Defender self out (lobby shirt pull),10,,
Side Kick,7,,
Running Kick,6,,
Leg Thrust,5,,
Reverse Kick,3,,
,,,
Defensive Skill,Unsuccessful Raids,,
Thigh Hold,53,,
Ankle Hold,47,,
Block,31,,
Dive,30,,
Push,17,,
Body Hold,17,,
Self-out,12,,
Chain_def,11,,
Follow,0,,
