Counter Action Skill,Successful Raids,,
Release,75,,
Struggle,43,,
Out Turn,18,,
Jump,14,,
Create Gap,8,,
In Turn,5,,
Dubki,4,,
,,,
Raider Success rate,,,
Raider Name,Total Raids,Successful Raids,
Sachin Tanwar,381,144,38%
Guman Singh,200,76,38%
Monu Goyat,165,62,38%
Prashanth Kumar Rai,163,73,45%
Monu Sandhu,31,9,29%
Shadloui Chianeh,21,5,24%
Mohit,14,3,21%
Selvamani K,10,4,40%
Neeraj Kumar,9,0,0%
Daniel Omondi Odhiambo,7,2,29%
Shubham Shinde,6,1,17%
Rohit,5,1,20%
C Sajin,1,0,0%
Balaji D,1,0,0%
,,,
Attacking Skill,Successful Raids,,
Running Hand Touch,67,,
Hand Touch,36,,
Toe Touch,22,,
Defender self out (lobby shirt pull),4,,
Reverse Kick,13,,
Side Kick,7,,
Leg Thrust,1,,
,,,
Defensive Skill,Unsuccessful Raids,,
Thigh Hold,43,,
Ankle Hold,39,,
Dive,37,,
Block,34,,
Push,22,,
Self-out,14,,
Body Hold,8,,
Chain_def,6,,
