Counter Action Skill,Successful Raids,,
Release,55,,
Struggle,34,,
Jump,27,,
Out Turn,18,,
In Turn,6,,
Dubki,5,,
Create Gap,3,,
,,,
Raider Success rate,,,
Raider Name,Total Raids,Successful Raids,
Abhishek Singh,363,149,41%
V. Ajith Kumar,291,130,45%
Shivam,57,26,46%
Ajinkya Kapre,46,12,26%
Mohsen Maghsoudlou,44,10,23%
Rahul Rana,20,5,25%
Jashandeep Singh,12,2,17%
Fazel Atrachali,12,0,0%
Ashish Kumar,11,2,18%
Prathap S,8,2,25%
Kamlesh,7,1,14%
Rinku Hc,2,0,0%
Sunil Siddhgavali,1,0,0%
Harendra Kumar,1,0,0%
Ajeet,1,0,0%
,,,
Attacking Skill,Successful Raids,,
Running Hand Touch,76,,
Hand Touch,33,,
Defender self out (lobby shirt pull),10,,
Toe Touch,8,,
Side Kick,3,,
Reverse Kick,3,,
Leg Thrust,1,,
,,,
Defensive Skill,Unsuccessful Raids,,
Block,44,,
Thigh Hold,43,,
Dive,34,,
Push,31,,
Ankle Hold,31,,
Chain_def,16,,
Body Hold,12,,
Self-out,11,,
Follow,1,,
