Counter Action Skill,Unnamed: 1,Unnamed: 2,Successful Raids,Unnamed: 4,Unnamed: 5
Release,,,,86,
Struggle,,,47,,
Out Turn,,,21,,
Create Gap,,11,,,
Jump,,10,,,
In Turn,4,,,,
Dubki,0,,,,
Raider Success rate,,,,,
Raider Name,Total Raids,Successful Raids,,Color % Successful Raids,
Maninder Singh,401,197,49%,,
Esmaeil Nabibakhsh,185,67,36%,0.000,1.0
Sukesh Hegde,128,43,34%,,
Akash Pikalmunde,39,12,31%,,
Manoj Gowda,37,10,27%,,
Rohit,36,12,33%,,
Ravindra Kumawat,33,7,21%,,
Anand V,12,2,17%,,
Ran Singh,9,2,22%,,
Rishank Devadiga,8,1,13%,,
Rinku Narwal,1,0,0%,,
Parveen Satpal,1,0,0%,,
Amit Nirwal,1,0,0%,,
Abozar Mohajermighani,1,0,0%,,
Attacking Skill,,,Successful Raids,,
Running Hand Touch,,,,47,
Hand Touch,,,22,,
Defender self out (lobby shirt pull),,8,,,
Toe Touch,,7,,,
Side Kick,,5,,,
Leg Thrust,2,,,,
Reverse Kick,1,,,,
Defensive Skill,Unsuccessful Raids,,,,
Ankle Hold,,52,,,
Thigh Hold,,51,,,
Block,30,,,,
Push,21,,,,
Dive,20,,,,
Body Hold,12,,,,
Chain_def,10,,,,
Self-out,8,,,,
