Counter Action Skill,Unnamed: 1,Unnamed: 2,Successful Raids,Unnamed: 4,Unnamed: 5
Release,,,,82,
Struggle,,,61,,
Jump,,,29,,
Out Turn,,,24,,
Create Gap,,9,,,
In Turn,4,,,,
Dubki,1,,,,
Raider Success rate,,,,,
Raider Name,Total Raids,Successful Raids,,Color % Successful Raids,
Pawan Sehrawat,478,250,52%,,
Bharat Naresh,196,98,50%,0.000,1.0
Chandran Ranjit,185,61,33%,,
Deepak Narwal,45,12,27%,,
More GB,40,3,8%,,
Dong Geon Lee,14,6,43%,,
Mahender Singh,12,0,0%,,
Mohit Sehrawat,11,0,0%,,
Abolfazl Maghsodloumah..,6,2,33%,,
Aman,3,1,33%,,
Saurabh Nandal,2,0,0%,,
Attacking Skill,,,Successful Raids,,
Running Hand Touch,,,,58,
Hand Touch,,,35,,
Defender self out (lobby shirt pull),,,15,,
Side Kick,,,14,,
Toe Touch,,8,,,
Running Kick,5,,,,
Reverse Kick,5,,,,
Defensive Skill,Unsuccessful Raids,,,,
Thigh Hold,,62,,,
Ankle Hold,50,,,,
Dive,43,,,,
Block,40,,,,
Push,28,,,,
Chain_def,17,,,,
Body Hold,16,,,,
Self-out,14,,,,
