Counter Action Skill,Unnamed: 1,Successful Raids,Unnamed: 3,Unnamed: 4,Unnamed: 5
Release,,,90,,
Struggle,,31,,,
Jump,,21,,,
Out Turn,,20,,,
Dubki,6,,,,
Create Gap,5,,,,
In Turn,2,,,,
Raider Success rate,,,,,
Raider Name,Total Raids,Successful Raids,,Color % Successful Raids,
Naveen Kumar,338,186,55%,,
Vijay Jaglan,285,121,42%,0.000,1.0
Ashu Malik,138,41,30%,,
Neeraj Narwal,97,33,34%,,
Sandeep Narwal,68,18,26%,,
Manjeet,17,6,35%,,
Ajay Thakur,13,3,23%,,
Manjeet Chhillar,5,1,20%,,
Sushant Sail,4,1,25%,,
Nitin Panwar,4,2,50%,,
Balram,4,0,0%,,
Joginder Narwal,1,0,0%,,
Attacking Skill,,,Successful Raids,,
Hand Touch,,,,52,
Running Hand Touch,,,38,,
Defender self out (lobby shirt pull),,,14,,
Side Kick,,,15,,
Toe Touch,,,15,,
Reverse Kick,,7,,,
Running Kick,1,,,,
Defensive Skill,Unsuccessful Raids,,,,
Dive,,46,,,
Thigh Hold,38,,,,
Ankle Hold,35,,,,
Block,34,,,,
Push,24,,,,
Chain_def,14,,,,
Self-out,9,,,,
Body Hold,8,,,,
