Counter Action Skill,Unnamed: 1,Unnamed: 2,Successful Raids,Unnamed: 4,Unnamed: 5
Release,,,,61,
Struggle,,,32,,
Out Turn,,,23,,
Jump,,,20,,
Dubki,,5,,,
Create Gap,,4,,,
In Turn,1,,,,
Raider Success rate,,,,,
Raider Name,Total Raids,Successful Raids,,Color % Successful Raids,
Asalam Inamdar,355,140,39%,,
Mohit Goyat,305,139,46%,0.000,1.0
Nitin Tomar,103,37,36%,,
Pankaj Mohite,64,17,27%,,
Rahul Chaudhari,35,10,29%,,
Vishwas S,26,10,38%,,
Shubham Shelke,15,2,13%,,
Pawan Kumar,12,3,25%,,
Akash Shinde,11,9,82%,,
Abinesh Nadarajan,9,2,22%,,
Vishal Bhardwaj,5,0,0%,,
Victor Obiero,1,0,0%,,
Sombir,1,0,0%,,
Sanket Sawant,1,0,0%,,
Karamvir,1,0,0%,,
Baldev Singh,1,0,0%,,
Attacking Skill,,Successful Raids,,,
Running Hand Touch,,,67,,
Hand Touch,,47,,,
Defender self out (lobby shirt pull),,14,,,
Toe Touch,,15,,,
Side Kick,5,,,,
Reverse Kick,5,,,,
Running Kick,5,,,,
Defensive Skill,Unsuccessful Raids,,,,
Dive,,42,,,
Ankle Hold,37,,,,
Thigh Hold,35,,,,
Block,22,,,,
Self-out,20,,,,
Push,14,,,,
Chain_def,10,,,,
Body Hold,7,,,,
