Counter Action Skill,Unnamed: 1,Unnamed: 2,Successful Raids,Unnamed: 4,Unnamed: 5
Release,,,,61,
Struggle,,,32,,
Out Turn,,,12,,
Create Gap,,9,,,
Jump,,8,,,
In Turn,1,,,,
Dubki,1,,,,
Raider Success rate,,,,,
Raider Name,Total Raids,Successful Raids,,Color % Successful Raids,
Manjeet,325,136,42%,,
Ajinkya Pawar,213,83,39%,0.000,1.0
Bhavani Rajput,111,33,30%,,
Himanshu,78,30,38%,,
Athul MS,73,21,29%,,
K Prapanjan,59,17,29%,,
Himanshu Singh,23,5,22%,,
Surjeet Singh,18,1,6%,,
Sandaruwan Asiri,8,1,13%,,
Mohit,7,0,0%,,
Anwar Saheed Baba,2,0,0%,,
Sagar Krishna,1,0,0%,,
Sagar,1,0,0%,,
Attacking Skill,,Successful Raids,,,
Running Hand Touch,,,71,,
Hand Touch,,35,,,
Defender self out (lobby shirt pull),,12,,,
Toe Touch,5,,,,
Running Kick,5,,,,
Side Kick,4,,,,
Reverse Kick,3,,,,
Leg Thrust,2,,,,
Defensive Skill,,Unsuccessful Raids,,,
Thigh Hold,,,53,,
Ankle Hold,,41,,,
Dive,,40,,,
Block,,30,,,
Push,,27,,,
Self-out,,16,,,
Chain_def,,15,,,
Body Hold,,13,,,
Follow,0,,,,
