Counter Action Skill,Unnamed: 1,Unnamed: 2,Successful Raids,Unnamed: 4,Unnamed: 5
Release,,,,88,
Struggle,,,59,,
Jump,,,19,,
Out Turn,,,17,,
Create Gap,,,12,,
Dubki,,8,,,
In Turn,1,,,,
Raider Success rate,,,,,
Raider Name,Total Raids,Successful Raids,,Color % Successful Raids,
Surender Gill,355,143,40%,,
Pardeep Narwal,349,144,41%,0.000,1.0
Shrikant Jadhav,190,73,38%,,
Rohit Tomar,36,16,44%,,
Ankit,23,5,22%,,
Ashu Singh,22,2,9%,,
Mohammad Taghi,18,5,28%,,
Sahil,8,3,38%,,
Aman Hooda,6,0,0%,,
Ankush,3,0,0%,,
Sumit,2,0,0%,,
Shubham Kumar,1,0,0%,,
Nitesh Kumar,1,0,0%,,
Attacking Skill,,,Successful Raids,,
Running Hand Touch,,,,44,
Hand Touch,,,31,,
Defender self out (lobby shirt pull),,,12,,
Side Kick,,,14,,
Toe Touch,,,14,,
Running Kick,,5,,,
Leg Thrust,,5,,,
Reverse Kick,2,,,,
Defensive Skill,Unsuccessful Raids,,,,
Thigh Hold,,59,,,
Block,51,,,,
Ankle Hold,42,,,,
Dive,33,,,,
Push,19,,,,
Body Hold,16,,,,
Self-out,14,,,,
Chain_def,12,,,,
