Counter Action Skill,Unnamed: 1,Successful Raids,Unnamed: 3,Unnamed: 4,Unnamed: 5
Release,,,72,,
Struggle,,65,,,
Create Gap,,15,,,
Out Turn,,14,,,
Jump,,14,,,
In Turn,,14,,,
,,13,,,
Dubki,7,,,,
Raider Success rate,,,,,
Raider Name,Total Raids,Successful Raids,,Color % Successful Raids,
Naveen Kumar,439,223,51%,,
Ashu Malik,277,109,39%,0.000,1.0
Vijay Jaglan,114,53,46%,,
Manjeet,105,41,39%,,
Ashish Narwal,20,6,30%,,
Vishal Lather,6,0,0%,,
Vijay,6,1,17%,,
Tejas Maruti Patil,4,1,25%,,
Ravi Kumar,2,0,0%,,
Vishal,1,0,0%,,
Attacking Skill,,Successful Raids,,,
Running hand touch,,,77,,
,,11,,,
Hand Touch,,29,,,
Defender self out (lobby shirt pull),,19,,,
Toe Touch,,17,,,
Side Kick,,13,,,
Reverse Kick,,11,,,
Running Kick,1,,,,
Defensive Skill,,Unsuccessful Raids,,,
Thigh Hold,,,48,,
Block,,35,,,
Dive,,32,,,
Push,,31,,,
Ankle Hold,,31,,,
Chain_def,,18,,,
Body Hold,,16,,,
Self-out,,10,,,
Follow,0,,,,
