Counter Action Skill,Unnamed: 1,Successful Raids,Unnamed: 3,Unnamed: 4,Unnamed: 5
Release,,,72,,
Struggle,,47,,,
Jump,,15,,,
Out Turn,,13,,,
Create Gap,,10,,,
In Turn,,9,,,
Dubki,4,,,,
Raider Success rate,,,,,
Raider Name,Total Raids,Successful Raids,,Color % Successful Raids,
Meetu Mahender,318,116,36%,,
Manjeet Dahiya,185,81,44%,0.000,1.0
Rakesh Narwal,110,33,30%,,
Manjeet,89,39,44%,,
K Prapanjan,66,30,45%,,
Vinay Tevatia,35,15,43%,,
Nitin Rawal,29,4,14%,,
Sushil,27,17,63%,,
Manish Gulia,20,9,45%,,
Vinay,18,6,33%,,
Lovepreet Singh,15,6,40%,,
Jaideep Dahiya,4,1,25%,,
Mohit Nandal,1,0,0%,,
Mohit,1,0,0%,,
Joginder Singh Narwal,1,0,0%,,
Harsh,1,0,0%,,
Amirhossein Bastami,1,0,0%,,
Attacking Skill,,,Successful Raids,,
Running Hand Touch,,,,64,
Hand Touch,,,34,,
Defender self out (lobby shirt pull),,,18,,
Side Kick,,,15,,
Toe Touch,,,15,,
Running Kick,,6,,,
Reverse Kick,2,,,,
Defensive Skill,Unsuccessful Raids,,,,
Thigh Hold,,57,,,
Block,44,,,,
Ankle Hold,38,,,,
Body Hold,28,,,,
Dive,21,,,,
Chain_def,20,,,,
Push,17,,,,
Self-out,16,,,,
