Counter Action Skill,Successful Raids,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5
Release,,92,,,
Struggle,24,,,,
In Turn,16,,,,
Out Turn,13,,,,
Create Gap,11,,,,
Jump,7,,,,
,3,,,,
Dubki,1,,,,
Creat Gap,1,,,,
Raider Success rate,,,,,
Raider Name,Total Raids,Successful Raids,,Color % Successful Raids,
Arjun Deshwal,449,241,54%,,
Ajith V Kumar,182,72,40%,0.000,1.0
Rahul Chaudhari,180,58,32%,,
Bhavani Rajput,77,28,36%,,
Sunil Kumar,29,1,3%,,
V Ajith Kumar,17,5,29%,,
Devank,11,2,18%,,
Navneet,10,4,40%,,
Sahul Kumar,8,1,13%,,
Nitin Panwar (JP),6,0,0%,,
Nitin Panwar,4,3,75%,,
Rahul Gorakh Dhanawade,1,0,0%,,
Lucky Sharma,1,0,0%,,
Attacking Skill,,,Successful Raids,,
Running Hand Touch,,,,84,
Hand Touch,,,74,,
,,9,,,
Defender self out (lobby shirt pull),,,22,,
Toe Touch,,,17,,
Side Kick,5,,,,
Reverse Kick,5,,,,
Running Kick,2,,,,
Defensive Skill,,Unsuccessful Raids,,,
Thigh Hold,,53,,,
Ankle Hold,,51,,,
Block,,30,,,
Self-out,,18,,,
Push,,14,,,
Chain_def,,13,,,
Dive,,12,,,
Body Hold,,11,,,
Follow,1,,,,
