Counter Action Skill,Successful Raids,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5
Release,,85,,,
Struggle,53,,,,
Jump,17,,,,
Create Gap,17,,,,
In Turn,16,,,,
Out Turn,12,,,,
,10,,,,
Dubki,6,,,,
Raider Success rate,,,,,
Raider Name,Total Raids,Successful Raids,,Color % Successful Raids,
Aslam Mustafa Inamdar,268,118,44%,,
Mohit Goyat,257,100,39%,0.000,1.0
Akash Santosh Shinde,195,101,52%,,
Pankaj Mohite,110,48,44%,,
Mohammad Esmaeil Nabi..,62,11,18%,,
Akash Shinde,27,6,22%,,
Aditya Tushar Shinde,23,10,43%,,
Saurabh,16,7,44%,,
Mohammad Nabibakhsh,14,4,29%,,
Aditya Shinde,7,3,43%,,
Gaurav Khatri,6,1,17%,,
D Mahindraprasad,6,1,17%,,
Fazel Atrachali,4,0,0%,,
Rakesh Bhalle Ram,3,0,0%,,
Govind Gurjar,3,1,33%,,
Abinesh Nadarajan,2,0,0%,,
Sanket Sawant,1,0,0%,,
Badal Taqdir Singh,1,0,0%,,
Ajinkya Ashok Pawar,1,0,0%,,
Attacking Skill,,Successful Raids,,,
,,17,,,
Running Hand Touch,,,66,,
Hand Touch,,50,,,
Toe Touch,,32,,,
Side Kick,,20,,,
Defender self out (lobby shirt pull),,14,,,
Running Kick,,11,,,
Reverse Kick,,8,,,
"Defender self out(lobby, shirt pull)",0,,,,
Defensive Skill,,Unsuccessful Raids,,,
Thigh Hold,,,49,,
Block,,36,,,
Push,,31,,,
Ankle Hold,,24,,,
Dive,,21,,,
Self-out,,18,,,
Body Hold,,13,,,
Chain_def,,8,,,
Follow,0,,,,
