Counter Action Skill,Unnamed: 1,Successful Raids,Unnamed: 3,Unnamed: 4,Unnamed: 5
Release,,,69,,
Struggle,,28,,,
Out Turn,,15,,,
Jump,,14,,,
Create Gap,,11,,,
In Turn,,8,,,
Dubki,4,,,,
Raider Success rate,,,,,
Raider Name,Total Raids,Successful Raids,,Color % Successful Raids,
Guman Singh,279,107,38%,,
Ashish (Bubla),195,63,32%,0.000,1.0
Jai Bhagwan,163,52,32%,,
Heidarali Ekrami,64,21,33%,,
Ashish,64,20,31%,,
Pranay Vinay Rane,47,20,43%,,
Shivam,26,8,31%,,
Rahul Sethpal,26,1,4%,,
Rinku H C,16,0,0%,,
Ankush,12,0,0%,,
Surinder Singh,8,0,0%,,
Shivansh Thakur,6,0,0%,,
Kamlesh,6,2,33%,,
Harendra Kumar,6,0,0%,,
Rupesh,2,0,0%,,
Vishal Mane,1,0,0%,,
Sachin,1,0,0%,,
Attacking Skill,Successful Raids,,,,
Running Hand Touch,,44,,,
Hand Touch,29,,,,
Defender self out (lobby shirt pull),14,,,,
Side Kick,9,,,,
Toe Touch,8,,,,
Running Kick,6,,,,
Reverse Kick,4,,,,
Defensive Skill,,Unsuccessful Raids,,,
Ankle Hold,,53,,,
Thigh Hold,,52,,,
Push,,46,,,
Block,,30,,,
Dive,,24,,,
Chain_def,,13,,,
Body Hold,,11,,,
Self-out,,9,,,
Follow,0,,,,
