Empty,Successful,Unsuccessful,,
100.00%,,,,
75.00%,,25.00%,,
,,100.00%,,
100.00%,,,,
30.00%,70.00%,,,
45.00%,25.00%,30.00%,,
38.50%,46.20%,15.40%,,
47.20%,19.40%,33.30%,,
36.80%,47.40%,15.80%,,
41.70%,41.70%,16.70%,,
100.00%,,,,
50.00%,,50.00%,,
100.00%,,,,
100.00%,,,,
,100.00%,,,
33.30%,33.30%,33.30%,,
50.00%,40.00%,10.00%,,
76.90%,15.40%,7.70%,,
43.50%,26.10%,30.40%,,
38.10%,47.60%,14.30%,,
21.60%,51.40%,27.00%,,
100.00%,,,,
100.00%,,,,
100.00%,,,,
33.30%,33.30%,33.30%,,
50.00%,25.00%,25.00%,,
25.00%,25.00%,50.00%,,
25.00%,25.00%,50.00%,,
,,100.00%,,
16.70%,16.70%,66.70%,,
,100.00%,,,
50.00%,50.00%,,,
50.00%,25.00%,25.00%,,
78.60%,14.30%,7.10%,,
75.00%,12.50%,12.50%,,
58.30%,25.00%,16.70%,,
38.50%,38.50%,23.10%,,
11.10%,44.40%,44.40%,,
47.40%,36.80%,15.80%,,
52.20%,4.30%,43.50%,,
63.60%,11.40%,25.00%,,
69.00%,17.20%,13.80%,,
61.10%,30.60%,8.30%,,
11.10%,55.60%,33.30%,,
40.00%,40.00%,20.00%,,
22.50%,32.50%,45.00%,,
41.20%,38.20%,20.60%,,
26.90%,52.20%,20.90%,,
27.20%,53.10%,19.80%,,
11.10%,55.60%,33.30%,Percentage outcome,
40.00%,40.00%,20.00%,,
22.50%,32.50%,45.00%,-33.30%,100.00%
41.20%,38.20%,20.60%,,
26.90%,52.20%,20.90%,,
27.20%,53.10%,19.80%,,
,100.00%,,,
33.30%,50.00%,16.70%,,
73.90%,17.40%,8.70%,,
80.60%,6.50%,12.90%,,
78.00%,8.00%,14.00%,,
54.00%,38.00%,8.00%,,
54.40%,29.40%,16.20%,,
,100.00%,,,
100.00%,,,,
100.00%,,,,
100.00%,,,,
100.00%,,,,
93.30%,,6.70%,,
Raider Name,Number of Defenders,Total Raids,% of Raids,
Abozar Mighani,5,2,33%,
,7,4,67%,
Amit Rathi,5,1,33%,
,6,2,67%,
Chandran Ranjit,2,10,8%,
,3,20,16%,
,4,13,11%,
,5,36,30%,
,6,19,16%,
,7,24,20%,
Fazel Atrachali,3,1,9%,
,4,4,36%,
,5,3,27%,
,7,3,27%,
Mahendra Rajput,1,2,2%,
,2,3,3%,
,3,10,9%,
,4,13,12%,
,5,23,21%,
,6,21,19%,
,7,37,34%,
Mahipal Narwal,6,1,,100%
Manoj Kumar,4,1,50%,
,7,1,50%,
Pawan Sehrawat,2,3,13%,
,3,4,17%,
,4,4,17%,
,5,4,17%,
,6,3,13%,
,7,6,25%,
Rakesh Narwal,1,1,2%,
,2,4,7%,
,3,4,7%,
,4,14,25%,
,5,8,14%,
,6,12,21%,
,7,13,23%,
Rohit Gulia,2,9,6%,
,3,19,12%,
,4,23,14%,
,5,44,28%,
,6,29,18%,
,7,36,23%,
Sachin,2,9,3%,
,3,30,10%,
,4,40,14%,
,5,68,,
Raider Name,Number of4Defenders,Tota4l 0Raids,% of Raids,
Sachin,5,68,23%,
,6,67,23%,
,7,81,27%,
Sukesh Hegde,1,7,3%,
,2,6,3%,
,3,23,10%,
,4,31,13%,
,5,50,21%,
,6,50,21%,
,7,68,29%,
Sunil Kumar,1,1,3%,
,3,1,3%,
,4,1,3%,
,5,6,19%,
,6,7,23%,
,7,15,48%,
