Raider Name,Number of Defenders,Total Raids,% of Raids,Empty,Successful,Unsuccessful
Abozar Mighani,5,2,33%,100.00%,,
,7,4,67%,75.00%,,25.00%
Amit Rathi,5,1,33%,,,100.00%
,6,2,67%,100.00%,,
Chandran Ranjit,2,10,8%,30.00%,70.00%,
,3,20,16%,45.00%,25.00%,30.00%
,4,13,11%,38.50%,46.20%,15.40%
,5,36,30%,47.20%,19.40%,33.30%
,6,19,16%,36.80%,47.40%,15.80%
,7,24,20%,41.70%,41.70%,16.70%
Fazel Atrachali,3,1,9%,100.00%,,
,4,4,36%,50.00%,,50.00%
,5,3,27%,100.00%,,
,7,3,27%,100.00%,,
Mahendra Rajput,1,2,2%,,100.00%,
,2,3,3%,33.30%,33.30%,33.30%
,3,10,9%,50.00%,40.00%,10.00%
,4,13,12%,76.90%,15.40%,7.70%
,5,23,21%,43.50%,26.10%,30.40%
,6,21,19%,38.10%,47.60%,14.30%
,7,37,34%,21.60%,51.40%,27.00%
Mahipal Narwal,6,1,100%,100.00%,,
Manoj Kumar,4,1,50%,100.00%,,
,7,1,50%,100.00%,,
Pawan Sehrawat,2,3,13%,33.30%,33.30%,33.30%
,3,4,17%,50.00%,25.00%,25.00%
,4,4,17%,25.00%,25.00%,50.00%
,5,4,17%,25.00%,25.00%,50.00%
,6,3,13%,,,100.00%
,7,6,25%,16.70%,16.70%,66.70%
Rakesh Narwal,1,1,2%,,100.00%,
,2,4,7%,50.00%,50.00%,
,3,4,7%,50.00%,25.00%,25.00%
,4,14,25%,78.60%,14.30%,7.10%
,5,8,14%,75.00%,12.50%,12.50%
,6,12,21%,58.30%,25.00%,16.70%
,7,13,23%,38.50%,38.50%,23.10%
Rohit Gulia,2,9,6%,11.10%,44.40%,44.40%
,3,19,12%,47.40%,36.80%,15.80%
,4,23,14%,52.20%,4.30%,43.50%
,5,44,28%,63.60%,11.40%,25.00%
,6,29,18%,69.00%,17.20%,13.80%
,7,36,23%,61.10%,30.60%,8.30%
Sachin,2,9,3%,11.10%,55.60%,33.30%
,3,30,10%,40.00%,40.00%,20.00%
,4,40,14%,22.50%,32.50%,45.00%
Sachin,5,68,23%,41.20%,38.20%,20.60%
,6,67,23%,26.90%,52.20%,20.90%
,7,81,27%,27.20%,53.10%,19.80%
Sukesh Hegde,1,7,3%,,100.00%,
,2,6,3%,33.30%,50.00%,16.70%
,3,23,10%,73.90%,17.40%,8.70%
,4,31,13%,80.60%,6.50%,12.90%
,5,50,21%,78.00%,8.00%,14.00%
,6,50,21%,54.00%,38.00%,8.00%
,7,68,29%,54.40%,29.40%,16.20%
Sunil Kumar,1,1,3%,,100.00%,
,3,1,3%,100.00%,,
,4,1,3%,100.00%,,
,5,6,19%,100.00%,,
,6,7,23%,100.00%,,
,7,15,48%,93.30%,,6.70%
