Raider Name,Number of Defenders,Total Raids,% of Raids,Empty,Successful,Unsuccessful
Ashish Chhokar,3,4,13%,25.00%,25.00%,50.00%
Ashish Chhokar,4,7,22%,14.30%,42.90%,42.90%
Ashish Chhokar,5,10,31%,70.00%,10.00%,20.00%
Ashish Chhokar,6,5,16%,80.00%,20.00%,
Ashish Chhokar,7,6,19%,83.30%,,16.70%
David Mosambayi,2,2,33%,50.00%,,50.00%
David Mosambayi,4,2,33%,50.00%,50.00%,
David Mosambayi,5,1,17%,100.00%,,
David Mosambayi,6,1,17%,,100.00%,
Deepak Kumar,3,1,6%,100.00%,,
Deepak Kumar,4,3,18%,33.30%,,66.70%
Deepak Kumar,5,4,24%,25.00%,25.00%,50.00%
Deepak Kumar,6,5,29%,40.00%,40.00%,20.00%
Deepak Kumar,7,4,24%,100.00%,,
Deepak Kumar Dahiya,1,1,1%,,100.00%,
Deepak Kumar Dahiya,2,5,3%,20.00%,40.00%,40.00%
Deepak Kumar Dahiya,3,17,9%,76.50%,11.80%,11.80%
Deepak Kumar Dahiya,4,19,10%,84.20%,15.80%,
Deepak Kumar Dahiya,5,36,18%,63.90%,16.70%,19.40%
Deepak Kumar Dahiya,6,46,23%,39.10%,39.10%,21.70%
Deepak Kumar Dahiya,7,72,37%,36.10%,41.70%,22.20%
Khomsan Thongkham,5,1,50%,,,100.00%
Khomsan Thongkham,7,1,50%,,,100.00%
Kuldeep Singh,7,1,100%,,,100.00%
Mayur Shivtarkar,2,1,4%,,100.00%,
Mayur Shivtarkar,3,1,4%,,100.00%,
Mayur Shivtarkar,4,5,20%,,40.00%,60.00%
Mayur Shivtarkar,5,6,24%,33.30%,,66.70%
Mayur Shivtarkar,6,5,20%,100.00%,,
Mayur Shivtarkar,7,7,28%,14.30%,28.60%,57.10%
Mohit Chhillar,4,2,22%,100.00%,,
Mohit Chhillar,6,1,11%,100.00%,,
Mohit Chhillar,7,6,67%,66.70%,16.70%,16.70%
Neeraj Kumar,7,1,100%,,,100.00%
Parmod Narwal,2,1,8%,,,100.00%
Parmod Narwal,3,1,8%,100.00%,,
Parmod Narwal,5,4,33%,50.00%,,50.00%
Parmod Narwal,6,2,17%,100.00%,,
Parmod Narwal,7,4,33%,100.00%,,
Prashanth Kumar Rai,1,1,1%,,100.00%,
Prashanth Kumar Rai,2,5,3%,20.00%,60.00%,20.00%
Prashanth Kumar Rai,3,13,9%,61.50%,38.50%,
Prashanth Kumar Rai,4,12,8%,50.00%,25.00%,25.00%
Prashanth Kumar Rai,5,27,18%,55.60%,29.60%,14.80%
Prashanth Kumar Rai,6,34,23%,35.30%,52.90%,11.80%
Prashanth Kumar Rai,7,57,38%,31.60%,43.90%,24.60%
Rakesh Singh Kumar,6,1,33%,100.00%,,
Rakesh Singh Kumar,7,2,67%,100.00%,,
Surender Nada,3,2,9%,50.00%,,50.00%
Surender Nada,4,1,5%,100.00%,,
Surender Nada,5,6,27%,83.30%,,16.70%
Surender Nada,6,3,14%,66.70%,33.30%,
Surender Nada,7,10,45%,90.00%,10.00%,
Surjeet Singh,3,3,2%,66.70%,,33.30%
Surjeet Singh,4,6,4%,66.70%,16.70%,16.70%
Surjeet Singh,5,19,13%,100.00%,,
Surjeet Singh,6,48,33%,41.70%,35.40%,22.90%
Surjeet Singh,7,70,48%,25.70%,41.40%,32.90%
Vikas,5,1,50%,100.00%,,
Vikas,7,1,50%,,,100.00%
Vikash Khandola,2,5,4%,40.00%,20.00%,40.00%
Vikash Khandola,3,13,10%,23.10%,38.50%,38.50%
Vikash Khandola,4,19,14%,47.40%,31.60%,21.10%
Vikash Khandola,5,37,27%,45.90%,29.70%,24.30%
Vikash Khandola,6,19,14%,47.40%,36.80%,15.80%
Vikash Khandola,7,43,32%,51.20%,34.90%,14.00%
Wazir Singh,1,3,1%,,100.00%,
Wazir Singh,2,13,5%,,92.30%,7.70%
Wazir Singh,3,20,7%,65.00%,20.00%,15.00%
Wazir Singh,4,28,10%,75.00%,10.70%,14.30%
Wazir Singh,5,52,19%,61.50%,25.00%,13.50%
Wazir Singh,6,60,22%,53.30%,26.70%,20.00%
Wazir Singh,7,95,35%,43.20%,41.10%,15.80%
