Unnamed: 0,Outcome,Percentage outcome,Unnamed: 3,Unnamed: 4
Empty,Successful,Unsuccessful,,
50.0%,,50.0%,-33.3%,100.0%
57.1%,28.6%,14.3%,,
75.0%,18.8%,6.3%,,
45.5%,36.4%,18.2%,,
47.8%,34.8%,17.4%,,
,100.0%,,,
6.3%,68.8%,25.0%,,
44.4%,38.9%,16.7%,,
53.1%,28.1%,18.8%,,
69.4%,11.1%,19.4%,,
41.0%,25.6%,33.3%,,
55.2%,19.4%,25.4%,,
33.3%,,66.7%,,
,,100.0%,,
,,100.0%,,
100.0%,,,,
100.0%,,,,
50.0%,12.5%,37.5%,,
47.1%,17.6%,35.3%,,
100.0%,,,,
100.0%,,,,
,50.0%,50.0%,,
41.2%,35.3%,23.5%,,
36.8%,42.1%,21.1%,,
68.0%,12.0%,20.0%,,
47.8%,34.8%,17.4%,,
48.3%,36.7%,15.0%,,
,80.0%,20.0%,,
41.7%,41.7%,16.7%,,
47.6%,14.3%,38.1%,,
70.3%,10.8%,18.9%,,
31.7%,39.0%,29.3%,,
40.2%,38.6%,21.3%,,
50.0%,50.0%,,,
33.3%,33.3%,33.3%,,
16.7%,16.7%,66.7%,,
33.3%,33.3%,33.3%,,
50.0%,,50.0%,,
100.0%,,,,
,25.0%,75.0%,,
42.9%,28.6%,28.6%,,
,100.0%,,,
57.1%,14.3%,28.6%,,
80.0%,,20.0%,,
100.0%,,,,
69.2%,7.7%,23.1%,,
,Outcome,,Percentage outcome,
Empty,Successful,Unsuccessful,,
69.2%,7.7%,23.1%,-33.3%,100.0%
100.0%,,,,
100.0%,,,,
,50.0%,50.0%,,
12.5%,50.0%,37.5%,,
47.4%,21.1%,31.6%,,
42.6%,24.1%,33.3%,,
24.0%,44.0%,32.0%,,
41.7%,43.8%,14.6%,,
Raider Name,Number of Defenders,Total Raids,% of Raids,
Abhishek N,7,2,,100%
Ajit Singh,4,7,12%,
,5,16,28%,
,6,11,19%,
,7,23,40%,
Jasvir Singh,1,2,1%,
,2,16,8%,
,3,18,9%,
,4,32,15%,
,5,36,17%,
,6,39,19%,
,7,67,32%,
Kamal Kishor,4,3,33%,
,5,2,22%,
,7,4,44%,
Manjeet Chhillar,3,1,3%,
,4,3,10%,
,6,8,28%,
,7,17,59%,
Navneet Gautam,4,1,50%,
,5,1,50%,
Nitin Rawal,2,4,3%,
,3,17,11%,
,4,19,13%,
,5,25,17%,
,6,23,16%,
,7,60,41%,
Pawan Kumar,2,5,2%,
,3,12,4%,
,4,21,7%,
,5,37,13%,
,6,82,29%,
,7,127,45%,
Rahul Choudhary,3,2,12%,
,5,3,18%,
,6,6,35%,
,7,6,35%,
Selvamani K,4,2,14%,
,5,1,7%,
,6,4,29%,
,7,7,50%,
Sidharth,3,1,3%,
,4,7,22%,
,5,10,31%,
,6,1,3%,
,7,13,41%,
,6,1,,
RSiadihdaerrtNhame,Number of7Defenders,Tota1l 3Raids,% of Raids,
Sunil Siddhgavali,6,1,50%,
,7,1,50%,
Tushar Patil,2,2,1%,
,3,8,5%,
,4,19,12%,
,5,54,35%,
,6,25,16%,
,7,48,31%,
