Unnamed: 0,Outcome,Percentage outcome,Unnamed: 3,Unnamed: 4
Empty,Successful,Unsuccessful,,
100.0%,,,-33.3%,100.0%
100.0%,,,,
100.0%,,,,
50.0%,50.0%,,,
,,100.0%,,
77.8%,11.1%,11.1%,,
,,100.0%,,
,100.0%,,,
,,100.0%,,
33.3%,40.0%,26.7%,,
37.5%,50.0%,12.5%,,
44.0%,34.7%,21.3%,,
26.3%,50.0%,23.7%,,
34.4%,43.9%,21.7%,,
,100.0%,,,
,94.4%,5.6%,,
32.2%,57.6%,10.2%,,
45.8%,34.7%,19.4%,,
59.2%,23.9%,16.9%,,
31.1%,46.2%,22.7%,,
31.8%,42.8%,25.4%,,
100.0%,,,,
66.7%,33.3%,,,
100.0%,,,,
88.9%,11.1%,,,
57.1%,19.0%,23.8%,,
66.7%,25.0%,8.3%,,
100.0%,,,,
,,100.0%,,
100.0%,,,,
33.3%,,66.7%,,
35.3%,47.1%,17.6%,,
100.0%,,,,
50.0%,,50.0%,,
42.9%,28.6%,28.6%,,
57.1%,19.0%,23.8%,,
38.6%,31.8%,29.5%,,
100.0%,,,,
50.0%,,50.0%,,
50.0%,,50.0%,,
,,100.0%,,
Raider Name,Number of Defenders,Total Raids,% of Raids,
Jaideep,5,2,40%,
,6,1,20%,
,7,2,40%,
Jawahar Dagar,5,2,9%,
,6,3,13%,
,7,18,78%,
Manish,7,2,,100%
Monu Goyat,1,1,0%,
,2,1,0%,
,3,15,4%,
,4,40,11%,
,5,75,21%,
,6,76,21%,
,7,157,43%,
Pardeep Narwal,1,10,2%,
,2,54,9%,
,3,59,10%,
,4,72,12%,
,5,71,12%,
,6,119,20%,
,7,201,34%,
Satish,6,1,,100%
Vijay,3,3,4%,
,4,2,2%,
,5,9,11%,
,6,21,25%,
,7,48,58%,
Vikas Jaglan,3,2,8%,
,4,1,4%,
,5,2,8%,
,6,3,12%,
,7,17,68%,
Vinod Kumar,3,1,1%,
,4,2,3%,
,5,7,9%,
,6,21,28%,
,7,44,59%,
Vishal Mane,6,1,,100%
Vishnu Uthaman,5,2,29%,
,6,4,57%,
,7,1,14%,
