Unnamed: 0,Outcome,Percentage outcome,Unnamed: 3,Unnamed: 4
Empty,Successful,Unsuccessful,,
50.0%,,50.0%,-33.3%,100.0%
66.7%,5.6%,27.8%,,
40.0%,40.0%,20.0%,,
42.9%,42.9%,14.3%,,
,100.0%,,,
9.1%,63.6%,27.3%,,
40.6%,34.4%,25.0%,,
50.9%,25.5%,23.6%,,
62.5%,20.3%,17.2%,,
41.4%,37.9%,20.7%,,
33.3%,44.1%,22.5%,,
100.0%,,,,
100.0%,,,,
100.0%,,,,
100.0%,,,,
100.0%,,,,
100.0%,,,,
100.0%,,,,
100.0%,,,,
100.0%,,,,
66.7%,11.1%,22.2%,,
60.0%,40.0%,,,
81.8%,,18.2%,,
54.5%,18.2%,27.3%,,
37.5%,25.0%,37.5%,,
58.1%,25.8%,16.1%,,
100.0%,,,,
50.0%,20.0%,30.0%,,
40.0%,20.0%,40.0%,,
13.3%,46.7%,40.0%,,
50.0%,25.0%,25.0%,,
,100.0%,,,
16.7%,66.7%,16.7%,,
38.1%,33.3%,28.6%,,
53.8%,20.5%,25.6%,,
53.4%,19.2%,27.4%,,
27.3%,50.0%,22.7%,,
47.0%,25.3%,27.7%,,
100.0%,,,,
100.0%,,,,
100.0%,,,,
83.3%,16.7%,,,
100.0%,,,,
42.9%,14.3%,42.9%,,
54.5%,27.3%,18.2%,,
60.0%,20.0%,20.0%,,
45.0%,25.0%,30.0%,,
100.0%,,,,
42.9%,14.3%,42.9%,Percentage outcome,
54.5%,27.3%,18.2%,,
60.0%,20.0%,20.0%,-33.3%,100.0%
45.0%,25.0%,30.0%,,
,100.0%,,,
31.3%,62.5%,6.3%,,
65.5%,27.6%,6.9%,,
80.0%,6.7%,13.3%,,
92.3%,,7.7%,,
64.7%,29.4%,5.9%,,
76.9%,19.2%,3.8%,,
100.0%,,,,
100.0%,,,,
33.3%,41.7%,25.0%,,
38.1%,33.3%,28.6%,,
,,100.0%,,
33.3%,,66.7%,,
50.0%,50.0%,,,
40.0%,,60.0%,,
Raider Name,Number of Defenders,Total Raids,% of Raids,
Akshay Jadhav,4,2,5%,
,5,18,46%,
,6,5,13%,
,7,14,36%,
Deepak Hooda,1,9,3%,
,2,11,3%,
,3,32,9%,
,4,55,15%,
,5,64,18%,
,6,87,24%,
,7,102,28%,
Dharmaraj,3,2,13%,
Cheralathan,4,1,7%,
,5,2,13%,
,6,3,20%,
,7,7,47%,
Girish Maruti,3,2,11%,
Ernak,4,2,11%,
,5,2,11%,
,6,3,17%,
,7,9,50%,
Monu,3,5,6%,
,4,11,14%,
,5,22,29%,
,6,8,10%,
,7,31,40%,
More G B,3,2,4%,
,4,10,22%,
,5,10,22%,
,6,15,33%,
,7,8,18%,
Rajesh Mondal,1,3,1%,
,2,6,2%,
,3,21,8%,
,4,39,14%,
,5,73,27%,
,6,44,16%,
,7,83,31%,
Ravi Kumar,7,2,,100%
Rinku Narwal,4,1,13%,
,5,1,13%,
,7,6,75%,
Rohit Kumar,2,3,7%,
Choudary,4,7,15%,
,5,11,24%,
,6,5,11%,
,7,20,,
RRaoihdiet rKNumamare,Number of6Defenders,Total5Raids,% of Raids,
Choudary,7,20,43%,
Sandeep Narwal,1,1,1%,
,2,16,14%,
,3,29,25%,
,4,15,13%,
,5,13,11%,
,6,17,15%,
,7,26,22%,
Suresh Kumar,4,1,3%,
,5,1,3%,
,6,12,34%,
,7,21,60%,
Umesh Mhatre,4,1,9%,
,5,3,27%,
,6,2,18%,
,7,5,45%,
