Raider Name,Number of Defenders,Total Raids,% of Raids,Empty,Successful,Unsuccessful
Ajay Thakur,1,5,1%,,100.00%,
Ajay Thakur,2,22,6%,9.10%,81.80%,9.10%
Ajay Thakur,3,33,8%,42.40%,24.20%,33.30%
Ajay Thakur,4,43,11%,46.50%,25.60%,27.90%
Ajay Thakur,5,56,14%,55.40%,28.60%,16.10%
Ajay Thakur,6,102,26%,35.30%,48.00%,16.70%
Ajay Thakur,7,139,35%,25.90%,56.80%,17.30%
Amit Hooda,4,1,14%,100.00%,,
Amit Hooda,6,1,14%,,,100.00%
Amit Hooda,7,5,71%,100.00%,,
Anil Kumar,4,1,25%,100.00%,,
Anil Kumar,6,2,50%,100.00%,,
Anil Kumar,7,1,25%,100.00%,,
Bhavani Rajput,4,1,10%,100.00%,,
Bhavani Rajput,7,9,90%,33.30%,22.20%,44.40%
C. Arun,4,1,6%,100.00%,,
C. Arun,5,9,56%,100.00%,,
C. Arun,6,2,13%,100.00%,,
C. Arun,7,4,25%,75.00%,,25.00%
D. Pradap,3,1,2%,100.00%,,
D. Pradap,4,5,10%,80.00%,,20.00%
D. Pradap,5,12,24%,100.00%,,
D. Pradap,6,9,18%,77.80%,22.20%,
D. Pradap,7,22,45%,54.50%,18.20%,27.30%
Darshan J.,7,3,100%,66.70%,,33.30%
Dong Geon Lee,2,1,1%,,100.00%,
Dong Geon Lee,3,4,6%,,75.00%,25.00%
Dong Geon Lee,4,11,16%,36.40%,18.20%,45.50%
Dong Geon Lee,5,20,29%,40.00%,30.00%,30.00%
Dong Geon Lee,6,6,9%,16.70%,66.70%,16.70%
Dong Geon Lee,7,26,38%,38.50%,34.60%,26.90%
K. Prapanjan,2,3,1%,,100.00%,
K. Prapanjan,3,21,7%,57.10%,9.50%,33.30%
K. Prapanjan,4,36,12%,38.90%,30.60%,30.60%
K. Prapanjan,5,66,22%,51.50%,24.20%,24.20%
K. Prapanjan,6,56,18%,37.50%,42.90%,19.60%
K. Prapanjan,7,124,41%,41.10%,39.50%,19.40%
M. Thivakaran,3,5,14%,80.00%,20.00%,
M. Thivakaran,4,3,8%,66.70%,,33.30%
M. Thivakaran,5,9,25%,44.40%,11.10%,44.40%
M. Thivakaran,6,8,22%,50.00%,37.50%,12.50%
M. Thivakaran,7,11,31%,9.10%,54.50%,36.40%
Muruthu M,7,1,100%,,,100.00%
Sanket Chavan,7,1,100%,100.00%,,
Sujit Maharana,3,1,20%,100.00%,,
Sujit Maharana,5,1,20%,,,100.00%
Sujit Maharana,7,3,60%,66.70%,,33.30%
Vijay Kumar,5,1,33%,100.00%,,
Vijay Kumar,6,1,33%,100.00%,,
Vijay Kumar,7,1,33%,,,100.00%
Vijin Thangadurai,7,2,100%,50.00%,,50.00%
Vineet Kumar,1,1,1%,,100.00%,
Vineet Kumar,3,2,2%,50.00%,50.00%,
Vineet Kumar,4,16,15%,81.30%,6.30%,12.50%
Vineet Kumar,5,27,26%,85.20%,3.70%,11.10%
Vineet Kumar,6,20,19%,80.00%,10.00%,10.00%
Vineet Kumar,7,38,37%,55.30%,26.30%,18.40%
