Raider Name,Number of Defenders,Total Raids,% of Raids,Empty,Successful,Unsuccessful
Elangeshwaran R,4,2,9%,50.00%,,50.00%
Elangeshwaran R,5,3,13%,66.70%,33.30%,
Elangeshwaran R,6,3,13%,66.70%,,33.30%
Elangeshwaran R,7,15,65%,26.70%,40.00%,33.30%
Farhad Milaghardan,4,1,6%,,,100.00%
Farhad Milaghardan,5,2,11%,50.00%,,50.00%
Farhad Milaghardan,6,3,17%,33.30%,66.70%,
Farhad Milaghardan,7,12,67%,33.30%,25.00%,41.70%
Mohsen Maghsoudlou,3,3,4%,,33.30%,66.70%
Mohsen Maghsoudlou,4,10,12%,40.00%,40.00%,20.00%
Mohsen Maghsoudlou,5,29,35%,51.70%,24.10%,24.10%
Mohsen Maghsoudlou,6,13,16%,30.80%,38.50%,30.80%
Mohsen Maghsoudlou,7,28,34%,46.40%,35.70%,17.90%
Munish,5,1,25%,,,100.00%
Munish,6,1,25%,100.00%,,
Munish,7,2,50%,,,100.00%
Nilesh Salunke,2,6,2%,,100.00%,
Nilesh Salunke,3,11,4%,36.40%,45.50%,18.20%
Nilesh Salunke,4,22,9%,77.30%,13.60%,9.10%
Nilesh Salunke,5,48,19%,62.50%,16.70%,20.80%
Nilesh Salunke,6,53,21%,45.30%,43.40%,11.30%
Nilesh Salunke,7,107,43%,48.60%,32.70%,18.70%
Rahul Chaudhari,1,6,1%,,100.00%,
Rahul Chaudhari,2,24,6%,12.50%,75.00%,12.50%
Rahul Chaudhari,3,25,6%,36.00%,40.00%,24.00%
Rahul Chaudhari,4,49,12%,44.90%,26.50%,28.60%
Rahul Chaudhari,5,67,16%,56.70%,14.90%,28.40%
Rahul Chaudhari,6,97,24%,39.20%,51.50%,9.30%
Rahul Chaudhari,7,144,35%,42.40%,38.90%,18.80%
Rakesh Kumar,3,1,2%,100.00%,,
Rakesh Kumar,4,6,14%,100.00%,,
Rakesh Kumar,5,7,16%,100.00%,,
Rakesh Kumar,6,9,21%,66.70%,22.20%,11.10%
Rakesh Kumar,7,20,47%,65.00%,25.00%,10.00%
Rakshith,2,1,5%,,100.00%,
Rakshith,3,2,9%,,100.00%,
Rakshith,4,3,14%,33.30%,33.30%,33.30%
Rakshith,5,5,23%,60.00%,20.00%,20.00%
Rakshith,6,2,9%,50.00%,50.00%,
Rakshith,7,9,41%,11.10%,55.60%,33.30%
Vikas,3,1,1%,100.00%,,
Vikas,4,3,3%,33.30%,33.30%,33.30%
Vikas,5,19,22%,26.30%,5.30%,68.40%
Vikas,6,26,30%,46.20%,46.20%,7.70%
Vikas,7,37,43%,40.50%,32.40%,27.00%
Vikrant,5,1,20%,,,100.00%
Vikrant,6,2,40%,,50.00%,50.00%
Vikrant,7,2,40%,50.00%,,50.00%
Vinoth Kumar,4,2,9%,100.00%,,
Vinoth Kumar,5,6,26%,83.30%,,16.70%
Vinoth Kumar,6,9,39%,55.60%,22.20%,22.20%
Vinoth Kumar,7,6,26%,33.30%,50.00%,16.70%
Vishal Bhardwaj,6,2,40%,50.00%,,50.00%
Vishal Bhardwaj,7,3,60%,100.00%,,
