Unnamed: 0,Outcome,Percentage outcome,Unnamed: 3,Unnamed: 4
Empty,Successful,Unsuccessful,,
,100.0%,,-33.3%,100.0%
7.7%,84.6%,7.7%,,
50.0%,25.0%,25.0%,,
78.3%,8.7%,13.0%,,
95.5%,2.3%,2.3%,,
46.3%,31.7%,22.0%,,
45.2%,36.3%,18.5%,,
,100.0%,,,
40.0%,20.0%,40.0%,,
18.2%,36.4%,45.5%,,
45.0%,20.0%,35.0%,,
44.4%,33.3%,22.2%,,
15.4%,46.2%,38.5%,,
100.0%,,,,
,,100.0%,,
,,100.0%,,
,100.0%,,,
,100.0%,,,
18.2%,72.7%,9.1%,,
45.0%,30.0%,25.0%,,
56.4%,25.6%,17.9%,,
34.0%,39.6%,26.4%,,
39.6%,36.5%,24.0%,,
25.0%,,75.0%,,
100.0%,,,,
58.3%,25.0%,16.7%,,
40.0%,20.0%,40.0%,,
,100.0%,,,
,50.0%,50.0%,,
,,100.0%,,
20.0%,40.0%,40.0%,,
100.0%,,,,
33.3%,,66.7%,,
35.7%,21.4%,42.9%,,
33.3%,44.4%,22.2%,,
54.2%,20.8%,25.0%,,
,100.0%,,,
25.0%,75.0%,,,
66.7%,16.7%,16.7%,,
38.5%,23.1%,38.5%,,
85.0%,5.0%,10.0%,,
53.8%,30.8%,15.4%,,
36.8%,39.5%,23.7%,,
,100.0%,,,
66.7%,33.3%,,,
33.3%,13.3%,53.3%,,
53.6%,14.3%,32.1%,,
19.6%,56.5%,23.9%,,
31.2%,49.4%,19.5%,,
,Outcome,,Percentage outcome,
Empty,Successful,Unsuccessful,,
33.3%,13.3%,53.3%,-33.3%,100.0%
53.6%,14.3%,32.1%,,
19.6%,56.5%,23.9%,,
31.2%,49.4%,19.5%,,
100.0%,,,,
50.0%,50.0%,,,
Raider Name,Number of Defenders,Total Raids,% of Raids,
Anup Kumar,1,2,1%,
,2,13,5%,
,3,12,4%,
,4,23,8%,
,5,44,16%,
,6,41,15%,
,7,146,52%,
Darshan Kadian,2,1,1%,
,3,5,7%,
,4,11,15%,
,5,20,28%,
,6,9,13%,
,7,26,36%,
Deepak Yadav,6,1,50%,
,7,1,50%,
Dong Ju Hong,7,1,,100%
Kashiling Adake,1,2,1%,
,2,2,1%,
,3,11,5%,
,4,20,9%,
,5,39,17%,
,6,53,24%,
,7,96,43%,
Kuldeep Singh,4,4,10%,
,5,5,12%,
,6,12,29%,
,7,20,49%,
Mohan Raman G,4,1,11%,
,5,2,22%,
,6,1,11%,
,7,5,56%,
Nitin Madane,3,1,2%,
,4,3,6%,
,5,14,27%,
,6,9,18%,
,7,24,47%,
Shabeer Bappu,1,1,1%,
,2,4,4%,
,3,6,6%,
,4,13,12%,
,5,20,19%,
,6,26,24%,
,7,38,35%,
Shrikant Jadhav,2,1,1%,
,3,3,2%,
,4,15,9%,
,5,28,,
Raider Name,Number of4Defenders,Tota1l 5Raids,% of Raids,
Shrikant Jadhav,5,28,16%,
,6,46,27%,
,7,77,45%,
Surinder Singh,7,3,,100%
Yong Joo Ok,6,2,,100%
