Raider Name,Number of Defenders,Total Raids,% of Raids,Empty,Successful,Unsuccessful
Ajay Kumar,3,10,4%,100.00%,,
,4,26,10%,57.70%,23.10%,19.20%
,5,47,18%,66.00%,6.40%,27.70%
,6,59,23%,23.70%,52.50%,23.70%
,7,115,45%,49.60%,27.80%,22.60%
Ashish Kumar,3,4,6%,25.00%,25.00%,50.00%
,4,9,13%,55.60%,11.10%,33.30%
,5,18,26%,50.00%,33.30%,16.70%
,6,13,19%,38.50%,30.80%,30.80%
,7,26,37%,57.70%,23.10%,19.20%
Gurvinder Singh,3,2,5%,100.00%,,
,4,3,8%,100.00%,,
,5,6,16%,66.70%,,33.30%
,6,8,22%,37.50%,37.50%,25.00%
,7,18,49%,38.90%,38.90%,22.20%
Harish Naik,3,1,2%,,100.00%,
,4,8,15%,62.50%,12.50%,25.00%
,5,10,19%,40.00%,30.00%,30.00%
,6,17,32%,23.50%,41.20%,35.30%
,7,17,32%,11.80%,52.90%,35.30%
Mahender Singh,7,2,100%,50.00%,50.00%,
Preetam Chhillar,3,3,10%,100.00%,,
,5,6,21%,100.00%,,
,6,9,31%,88.90%,11.10%,
,7,11,38%,100.00%,,
Ravinder Pahal,5,1,17%,100.00%,,
,7,5,83%,60.00%,20.00%,20.00%
Rohit,6,1,20%,,,100.00%
,7,4,80%,,75.00%,25.00%
Rohit Kumar,1,6,1%,,100.00%,
,2,27,6%,,85.20%,14.80%
,3,43,10%,23.30%,53.50%,23.30%
,4,51,12%,37.30%,37.30%,25.50%
,5,54,13%,57.40%,16.70%,25.90%
,6,95,23%,30.50%,48.40%,21.10%
,7,142,34%,35.90%,49.30%,14.80%
Sachin Kumar,5,4,57%,75.00%,,25.00%
,7,3,43%,66.70%,,33.30%
Sumit Singh,5,1,20%,100.00%,,
,7,4,80%,50.00%,,50.00%
Sunil Jaipal,3,4,7%,75.00%,,25.00%
,4,9,17%,77.80%,11.10%,11.10%
,5,12,22%,50.00%,33.30%,16.70%
,6,7,13%,71.40%,28.60%,
,7,22,41%,63.60%,27.30%,9.10%
