Raider Name,Number of Defenders,Total Raids,% of Raids,Empty,Successful,Unsuccessful
Ajay Kumar,1,2,2%,,100.00%,
,2,2,2%,50.00%,,50.00%
,3,10,11%,60.00%,30.00%,10.00%
,4,14,16%,57.10%,28.60%,14.30%
,5,20,23%,65.00%,,35.00%
,6,17,19%,35.30%,58.80%,5.90%
,7,23,26%,34.80%,30.40%,34.80%
Anil,5,2,50%,100.00%,,
,6,2,50%,50.00%,,50.00%
Dharmender,3,2,33%,,50.00%,50.00%
,4,2,33%,,50.00%,50.00%
,7,2,33%,,,100.00%
Dong Geon Lee,2,4,6%,25.00%,50.00%,25.00%
,3,9,14%,55.60%,22.20%,22.20%
,4,2,3%,,50.00%,50.00%
,5,8,12%,62.50%,,37.50%
,6,14,22%,28.60%,64.30%,7.10%
,7,28,43%,42.90%,32.10%,25.00%
Hadi Oshtorak,4,2,18%,50.00%,50.00%,
,5,1,9%,100.00%,,
,6,2,18%,,50.00%,50.00%
,7,6,55%,50.00%,33.30%,16.70%
K. Prapanjan,2,15,6%,13.30%,73.30%,13.30%
,3,24,9%,70.80%,8.30%,20.80%
,4,38,15%,31.60%,34.20%,34.20%
,5,66,26%,59.10%,21.20%,19.70%
,6,34,13%,26.50%,58.80%,14.70%
,7,78,31%,29.50%,47.40%,23.10%
Lalit Chaudhary,5,3,43%,66.70%,,33.30%
,6,1,14%,,,100.00%
,7,3,43%,,33.30%,66.70%
Mahendra Rajput,2,3,5%,,33.30%,66.70%
,3,10,15%,70.00%,,30.00%
,4,8,12%,37.50%,,62.50%
,5,12,18%,66.70%,25.00%,8.30%
,6,16,24%,25.00%,43.80%,31.30%
,7,17,26%,11.80%,47.10%,41.20%
Parvesh Bhainsw..,7,1,100%,100.00%,,
Rohit Gulia,2,7,5%,28.60%,57.10%,14.30%
,3,18,12%,66.70%,22.20%,11.10%
,4,19,13%,31.60%,26.30%,42.10%
,5,30,20%,56.70%,13.30%,30.00%
,6,23,15%,39.10%,47.80%,13.00%
,7,55,36%,40.00%,40.00%,20.00%
Ruturaj Shivaji,6,2,67%,100.00%,,
Koravi,7,1,33%,100.00%,,
Sachin,1,4,1%,,100.00%,
,2,25,7%,20.00%,52.00%,28.00%
,3,31,8%,61.30%,29.00%,9.70%
,4,57,16%,33.30%,40.40%,26.30%
,5,79,22%,41.80%,27.80%,30.40%
,6,56,15%,28.60%,60.70%,10.70%
,7,114,31%,24.60%,53.50%,21.90%
Sachin V.,5,2,40%,50.00%,,50.00%
,6,2,40%,50.00%,50.00%,
,7,1,20%,,100.00%,
Shubham Ashok,5,5,38%,40.00%,,60.00%
Palkar,6,3,23%,66.70%,33.30%,
,7,5,38%,40.00%,20.00%,40.00%
Sunil Kumar,2,1,3%,100.00%,,
,3,2,7%,100.00%,,
,4,3,10%,100.00%,,
,5,11,37%,100.00%,,
,6,6,20%,100.00%,,
,7,7,23%,85.70%,,14.30%
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
