Raider Name,Number of Defenders,Total Raids,% of Raids,Empty,Successful,Unsuccessful
Anand Surendra Tomar,5,2,10%,100.00%,,
,6,3,15%,,33.30%,66.70%
,7,15,75%,20.00%,40.00%,40.00%
Arun Kumar HN,7,5,100%,20.00%,20.00%,60.00%
Bhuvneshwar Gaur,6,1,14%,,,100.00%
,7,6,86%,,50.00%,50.00%
Kuldeep Singh,6,1,50%,100.00%,,
,7,1,50%,100.00%,,
Mayur Shivtarkar,3,1,3%,100.00%,,
,4,4,11%,75.00%,,25.00%
,5,6,17%,83.30%,,16.70%
,6,4,11%,75.00%,,25.00%
,7,21,58%,71.40%,4.80%,23.80%
Monu Goyat,2,10,3%,,70.00%,30.00%
,3,16,5%,31.30%,37.50%,31.30%
,4,41,14%,46.30%,19.50%,34.10%
,5,40,13%,52.50%,27.50%,20.00%
,6,78,26%,24.40%,56.40%,19.20%
,7,116,39%,25.00%,47.40%,27.60%
Naveen,3,8,4%,50.00%,12.50%,37.50%
,4,26,13%,34.60%,19.20%,46.20%
,5,37,19%,43.20%,29.70%,27.00%
,6,47,24%,34.00%,44.70%,21.30%
,7,75,39%,38.70%,49.30%,12.00%
Parveen,5,1,14%,100.00%,,
,7,6,86%,66.70%,16.70%,16.70%
Prateek,3,1,13%,100.00%,,
,6,3,38%,33.30%,33.30%,33.30%
,7,4,50%,50.00%,,50.00%
Sachin Shingade,6,1,50%,100.00%,,
,7,1,50%,100.00%,,
Sunil,6,1,33%,100.00%,,
,7,2,67%,100.00%,,
Vikash Khandola,1,2,1%,,100.00%,
,2,13,4%,,61.50%,38.50%
,3,27,8%,70.40%,29.60%,
,4,46,13%,34.80%,30.40%,34.80%
,5,82,24%,52.40%,23.20%,24.40%
,6,70,20%,25.70%,47.10%,27.10%
,7,107,31%,29.00%,53.30%,17.80%
Wazir Singh,4,2,20%,100.00%,,
,5,1,10%,,,100.00%
,6,2,20%,,50.00%,50.00%
,7,5,50%,60.00%,20.00%,20.00%
