Raider Name,Number of Defenders,Total Raids,% of Raids,Empty,Successful,Unsuccessful
Ajinkya Ashok,2,7,4%,14.30%,57.10%,28.60%
Pawar,3,13,8%,23.10%,61.50%,15.40%
,4,22,13%,45.50%,36.40%,18.20%
,5,38,23%,34.20%,34.20%,31.60%
,6,28,17%,32.10%,35.70%,32.10%
,7,55,34%,45.50%,29.10%,25.50%
Ajit Singh,4,3,16%,33.30%,33.30%,33.30%
,5,4,21%,75.00%,,25.00%
,6,2,11%,,50.00%,50.00%
,7,10,53%,10.00%,50.00%,40.00%
Amit Kumar,2,1,3%,,,100.00%
,4,6,17%,16.70%,16.70%,66.70%
,5,9,26%,22.20%,11.10%,66.70%
,6,10,29%,60.00%,10.00%,30.00%
,7,9,26%,22.20%,77.80%,
Anand Patil,3,1,2%,,,100.00%
,4,8,15%,100.00%,,
,5,10,19%,60.00%,10.00%,30.00%
,6,10,19%,50.00%,10.00%,40.00%
,7,23,44%,34.80%,30.40%,34.80%
Anup Kumar,2,7,6%,14.30%,28.60%,57.10%
,3,23,18%,78.30%,17.40%,4.30%
,4,13,10%,92.30%,,7.70%
,5,19,15%,89.50%,,10.50%
,6,16,13%,31.30%,43.80%,25.00%
,7,49,39%,46.90%,34.70%,18.40%
David Mosambayi,5,2,33%,,,100.00%
,7,4,67%,25.00%,25.00%,50.00%
Deepak Hooda,1,4,1%,,100.00%,
,2,14,4%,,64.30%,35.70%
,3,26,7%,50.00%,30.80%,19.20%
,4,45,12%,48.90%,31.10%,20.00%
,5,48,13%,68.80%,18.80%,12.50%
,6,81,22%,24.70%,53.10%,22.20%
,7,149,41%,28.20%,51.70%,20.10%
Gangadhari,4,1,11%,100.00%,,
Mallesh,5,4,44%,50.00%,25.00%,25.00%
,6,1,11%,100.00%,,
,7,3,33%,33.30%,,66.70%
Lokesh Kaushik,5,1,9%,,,100.00%
,6,2,18%,50.00%,50.00%,
,7,8,73%,37.50%,12.50%,50.00%
Mohit Chhillar,6,1,25%,100.00%,,
,7,3,75%,66.70%,,33.30%
Nitin Rawal,2,6,11%,16.70%,50.00%,33.30%
,3,8,14%,50.00%,37.50%,12.50%
,4,10,18%,20.00%,30.00%,50.00%
,5,8,14%,75.00%,25.00%,
,6,11,19%,45.50%,36.40%,18.20%
,7,14,25%,50.00%,35.70%,14.30%
Sandeep Dhull,7,1,100%,100.00%,,
Santhapanaselva..,7,1,100%,100.00%,,
Selvamani K,3,1,1%,100.00%,,
,4,5,6%,80.00%,,20.00%
,5,13,16%,84.60%,,15.40%
,6,26,32%,23.10%,42.30%,34.60%
,7,37,45%,37.80%,43.20%,18.90%
Sunil Siddhgavali,4,2,13%,100.00%,,
,5,2,13%,100.00%,,
,6,3,20%,,66.70%,33.30%
,7,8,53%,62.50%,25.00%,12.50%
