Raider Name,Number of Defenders,Total Raids,% of Raids,Empty,Successful,Unsuccessful
Abhishek Singh,1,3,3%,,100.00%,
,2,4,3%,25.00%,75.00%,
,3,25,21%,64.00%,24.00%,12.00%
,4,28,24%,42.90%,35.70%,21.40%
,5,22,19%,59.10%,13.60%,27.30%
,6,9,8%,22.20%,66.70%,11.10%
,7,26,22%,53.80%,26.90%,19.20%
Abolfazl Maghsodloumahali,2,2,3%,,,100.00%
,3,7,9%,71.40%,14.30%,14.30%
,4,11,14%,63.60%,18.20%,18.20%
,5,18,23%,66.70%,16.70%,16.70%
,6,19,25%,31.60%,31.60%,36.80%
,7,20,26%,45.00%,35.00%,20.00%
Anil,5,1,50%,100.00%,,
,7,1,50%,100.00%,,
Arjun Deshwal,2,1,9%,,100.00%,
,4,3,27%,66.70%,33.30%,
,5,3,27%,33.30%,,66.70%
,6,1,9%,,100.00%,
,7,3,27%,66.70%,,33.30%
Darshan Kadian,1,2,1%,,100.00%,
,2,4,3%,,75.00%,25.00%
,3,17,12%,52.90%,29.40%,17.60%
,4,18,13%,38.90%,27.80%,33.30%
,5,39,28%,53.80%,17.90%,28.20%
,6,28,20%,60.70%,35.70%,3.60%
,7,33,23%,54.50%,24.20%,21.20%
Dharmaraj Cheralathan,2,1,5%,,,100.00%
,4,1,5%,100.00%,,
,5,6,27%,100.00%,,
,6,2,9%,100.00%,,
,7,12,55%,100.00%,,
Fazel Atrachali,3,1,7%,100.00%,,
,4,2,14%,100.00%,,
,5,3,21%,100.00%,,
,6,1,7%,100.00%,,
,7,7,50%,100.00%,,
Gaurav Kumar,4,3,30%,33.30%,66.70%,
,5,5,50%,20.00%,,80.00%
,6,1,10%,100.00%,,
,7,1,10%,,,100.00%
R. Sriram,3,1,25%,,,100.00%
,4,1,25%,,,100.00%
,5,2,50%,,,100.00%
Rohit Baliyan,2,1,1%,,100.00%,
,3,10,5%,50.00%,20.00%,30.00%
Rohit Baliyan,4,21,11%,66.70%,19.00%,14.30%
,5,34,18%,67.60%,17.60%,14.70%
,6,60,32%,23.30%,58.30%,18.30%
,7,62,33%,30.60%,54.80%,14.50%
Siddharth Sirish Desai,1,9,3%,,100.00%,
,2,20,6%,10.00%,65.00%,25.00%
,3,31,10%,22.60%,51.60%,25.80%
,4,53,17%,39.60%,37.70%,22.60%
,5,49,15%,42.90%,32.70%,24.50%
,6,59,18%,13.60%,69.50%,16.90%
,7,100,31%,16.00%,59.00%,25.00%
Surender Singh,7,3,100%,100.00%,,
Vinod Kumar,3,7,10%,85.70%,,14.30%
,4,8,12%,75.00%,,25.00%
,5,13,19%,92.30%,,7.70%
,6,12,18%,66.70%,25.00%,8.30%
,7,28,41%,35.70%,42.90%,21.40%
