Raider Name,Number of Defenders,Total Raids,% of Raids,Empty,Successful,Unsuccessful
Amit Kumar,2,3,3%,33.30%,33.30%,33.30%
,3,7,7%,71.40%,14.30%,14.30%
,4,11,11%,36.40%,18.20%,45.50%
,5,20,19%,55.00%,25.00%,20.00%
,6,25,24%,24.00%,32.00%,44.00%
,7,37,36%,40.50%,18.90%,40.50%
Darshan Kadian,4,2,6%,50.00%,,50.00%
,5,14,44%,78.60%,7.10%,14.30%
,6,3,9%,,33.30%,66.70%
,7,13,41%,30.80%,23.10%,46.20%
Emad Sedaghatnia,3,2,12%,,50.00%,50.00%
,4,1,6%,,,100.00%
,5,3,18%,,33.30%,66.70%
,6,6,35%,16.70%,66.70%,16.70%
,7,5,29%,,40.00%,60.00%
Girish Maruti Ern..,7,1,100%,,,100.00%
Hadi Tajik,6,1,17%,,,100.00%
,7,5,83%,60.00%,20.00%,20.00%
Jadhav Balasahe..,7,1,100%,,,100.00%
Manjeet,1,3,1%,,100.00%,
,2,19,7%,5.30%,84.20%,10.50%
,3,14,5%,50.00%,21.40%,28.60%
,4,30,11%,36.70%,20.00%,43.30%
,5,49,18%,49.00%,28.60%,22.40%
,6,58,21%,37.90%,41.40%,20.70%
,7,97,36%,29.90%,43.30%,26.80%
Nitin Tomar,1,1,1%,,100.00%,
,2,8,6%,37.50%,25.00%,37.50%
,3,5,4%,80.00%,,20.00%
,4,8,6%,50.00%,12.50%,37.50%
,5,21,15%,66.70%,9.50%,23.80%
,6,35,25%,22.90%,54.30%,22.90%
,7,64,45%,23.40%,54.70%,21.90%
Pankaj Mohite,2,9,4%,22.20%,55.60%,22.20%
,3,9,4%,,88.90%,11.10%
,4,25,12%,28.00%,28.00%,44.00%
,5,41,20%,43.90%,34.10%,22.00%
,6,35,17%,42.90%,42.90%,14.30%
,7,88,43%,35.20%,44.30%,20.50%
Pawan Kumar,3,3,5%,66.70%,33.30%,
,4,8,14%,62.50%,,37.50%
,5,5,8%,60.00%,40.00%,
,6,22,37%,54.50%,27.30%,18.20%
,7,21,36%,28.60%,47.60%,23.80%
R. Sriram,5,2,33%,100.00%,,
,6,3,50%,33.30%,,66.70%
,7,1,17%,100.00%,,
Sagar Krishna,7,1,100%,100.00%,,
Sandeep,7,1,100%,,,100.00%
Shubham Shinde,5,3,38%,100.00%,,
,6,1,13%,,100.00%,
,7,4,50%,100.00%,,
Surjeet Singh,4,1,6%,100.00%,,
,5,3,17%,100.00%,,
,6,3,17%,100.00%,,
,7,11,61%,81.80%,9.10%,9.10%
Sushant Sail,3,3,6%,33.30%,,66.70%
,4,3,6%,33.30%,66.70%,
,5,12,24%,,41.70%,58.30%
,6,8,16%,62.50%,12.50%,25.00%
,7,24,48%,33.30%,29.20%,37.50%
