Raider Name,Number of Defenders,Total Raids,% of Raids,Empty,Successful,Unsuccessful
Abolfazl Maghsodl oumahali,6,1,17%,,,100.00%
,7,5,83%,20.00%,40.00%,40.00%
Aman,6,1,33%,100.00%,,
,7,2,67%,,50.00%,50.00%
Bharat Naresh,2,2,1%,,100.00%,
,3,13,7%,30.80%,46.20%,23.10%
,4,25,13%,12.00%,40.00%,48.00%
,5,36,18%,36.10%,30.60%,33.30%
,6,51,26%,11.80%,62.70%,25.50%
,7,69,35%,21.70%,53.60%,24.60%
Chandran Ranjit,2,1,1%,,100.00%,
,3,7,4%,71.40%,,28.60%
,4,16,9%,56.30%,12.50%,31.30%
,5,34,18%,44.10%,23.50%,32.40%
,6,39,21%,41.00%,38.50%,20.50%
,7,88,48%,30.70%,39.80%,29.50%
Deepak Narwal,2,1,2%,,,100.00%
,3,1,2%,100.00%,,
,4,1,2%,,,100.00%
,5,6,13%,50.00%,,50.00%
,6,12,27%,33.30%,33.30%,33.30%
,7,24,53%,33.30%,33.30%,33.30%
Dong Geon Lee,4,1,7%,,,100.00%
,5,1,7%,,100.00%,
,6,6,43%,,50.00%,50.00%
,7,6,43%,16.70%,33.30%,50.00%
Mahender Singh,6,2,17%,100.00%,,
,7,10,83%,90.00%,,10.00%
Mohit Sehrawat,6,1,9%,100.00%,,
,7,10,91%,80.00%,,20.00%
More GB,4,4,10%,100.00%,,
,5,14,35%,100.00%,,
,6,12,30%,91.70%,8.30%,
,7,10,25%,80.00%,20.00%,
Pawan Sehrawat,1,7,1%,,100.00%,
,2,38,8%,5.30%,71.10%,23.70%
,3,35,7%,17.10%,65.70%,17.10%
,4,56,12%,25.00%,39.30%,35.70%
,5,87,18%,41.40%,32.20%,26.40%
,6,105,22%,12.40%,60.00%,27.60%
,7,150,31%,18.00%,53.30%,28.70%
Saurabh Nandal,7,2,100%,50.00%,,50.00%
