Raider Name,Number of Defenders,Total Raids,% of Raids,Empty,Successful,Unsuccessful
Ajinkya Kapre,4,12,40%,50.00%,16.70%,33.30%
,5,5,17%,20.00%,,80.00%
,6,3,10%,33.30%,66.70%,
,7,10,33%,30.00%,20.00%,50.00%
Akash Pikalmunde,5,2,14%,,,100.00%
,6,5,36%,,100.00%,
,7,7,50%,14.30%,14.30%,71.40%
Ashish Kumar,5,2,25%,100.00%,,
,6,1,13%,100.00%,,
,7,5,63%,80.00%,,20.00%
Aslam Thambi,3,2,11%,50.00%,50.00%,
,4,2,11%,,,100.00%
,5,3,17%,,33.30%,66.70%
,6,3,17%,33.30%,33.30%,33.30%
,7,8,44%,25.00%,12.50%,62.50%
Deepak Hooda,1,2,2%,,100.00%,
,2,3,2%,,33.30%,66.70%
,3,5,4%,20.00%,60.00%,20.00%
,4,19,15%,42.10%,26.30%,31.60%
,5,33,27%,45.50%,36.40%,18.20%
,6,19,15%,42.10%,31.60%,26.30%
,7,43,35%,48.80%,25.60%,25.60%
Maninder Singh,1,1,0%,,100.00%,
,2,28,8%,,89.30%,10.70%
,3,32,9%,28.10%,46.90%,25.00%
,4,38,10%,68.40%,10.50%,21.10%
,5,40,11%,55.00%,30.00%,15.00%
,6,86,24%,14.00%,66.30%,19.80%
,7,138,38%,18.10%,52.20%,29.70%
Manoj Gowda,2,1,2%,,100.00%,
,3,2,4%,,50.00%,50.00%
,4,7,13%,71.40%,14.30%,14.30%
,5,17,30%,52.90%,17.60%,29.40%
,6,6,11%,16.70%,83.30%,
,7,23,41%,43.50%,39.10%,17.40%
Parshant Kumar,2,1,9%,,100.00%,
,3,1,9%,,,100.00%
,4,1,9%,100.00%,,
,5,1,9%,100.00%,,
,6,1,9%,100.00%,,
,7,6,55%,33.30%,16.70%,50.00%
R Guhan,4,1,7%,,,100.00%
,5,5,36%,20.00%,40.00%,40.00%
,6,2,14%,,100.00%,
,7,6,43%,,50.00%,50.00%
Rohit,5,1,11%,100.00%,,
,6,2,22%,,100.00%,
,7,6,67%,,50.00%,50.00%
Shrikant Jadhav,1,1,0%,,100.00%,
,2,3,1%,,33.30%,66.70%
,3,16,6%,50.00%,31.30%,18.80%
,4,31,12%,45.20%,29.00%,25.80%
,5,60,24%,43.30%,30.00%,26.70%
,6,44,18%,31.80%,40.90%,27.30%
,7,95,38%,31.60%,49.50%,18.90%
Shubham Shinde,4,1,13%,100.00%,,
,5,2,25%,100.00%,,
,6,1,13%,,,100.00%
,7,4,50%,100.00%,,
Surender Nada,6,1,20%,100.00%,,
,7,4,80%,100.00%,,
Suyog Gaikar,4,2,18%,50.00%,,50.00%
,5,1,9%,100.00%,,
,7,8,73%,12.50%,37.50%,50.00%
Vaibhav Garje,7,1,100%,,,100.00%
Vinod Kumar,5,1,50%,100.00%,,
,6,1,50%,,,100.00%
