Raider Name,Number of Defenders,Total Raids,% of Raids,Empty,Successful,Unsuccessful
Ashish Narwal,4,2,10%,50.00%,50.00%,
,5,4,20%,50.00%,,50.00%
,6,8,40%,,62.50%,37.50%
,7,6,30%,50.00%,,50.00%
Ashu Malik,2,12,4%,25.00%,58.30%,16.70%
,3,15,5%,60.00%,20.00%,20.00%
,4,43,16%,46.50%,41.90%,11.60%
,5,70,25%,41.40%,28.60%,30.00%
,6,47,17%,34.00%,40.40%,25.50%
,7,90,32%,32.20%,46.70%,21.10%
Manjeet,3,7,7%,71.40%,,28.60%
,4,7,7%,28.60%,28.60%,42.90%
,5,19,18%,26.30%,26.30%,47.40%
,6,20,19%,25.00%,60.00%,15.00%
,7,52,50%,19.20%,42.30%,38.50%
Naveen Kumar,1,3,1%,,100.00%,
,2,36,8%,5.60%,80.60%,13.90%
,3,40,9%,15.00%,52.50%,32.50%
,4,50,11%,40.00%,30.00%,30.00%
,5,58,13%,46.60%,32.80%,20.70%
,6,76,17%,35.50%,52.60%,11.80%
,7,176,40%,24.40%,54.50%,21.00%
Ravi Kumar,5,1,50%,100.00%,,
,7,1,50%,100.00%,,
Tejas Maruti Patil,4,1,25%,,,100.00%
,5,2,50%,100.00%,,
,6,1,25%,,100.00%,
Vijay,7,6,100%,33.30%,16.70%,50.00%
Vijay Jaglan,2,1,1%,,,100.00%
,3,2,2%,100.00%,,
,4,6,5%,100.00%,,
,5,6,5%,100.00%,,
,6,36,32%,36.10%,41.70%,22.20%
,7,63,55%,20.60%,60.30%,19.00%
Vishal,7,1,100%,100.00%,,
Vishal Lather,3,1,17%,100.00%,,
,4,4,67%,100.00%,,
,7,1,17%,100.00%,,
