Empty,Successful,Unsuccessful,Raider Name,Number of Defenders,Total Raids,% of Raids
50.00%,,50.00%,Abinesh Nadaraj..,7,2,100%
100.00%,,,Aditya Shinde,4,1,14%
,33.30%,66.70%,,5,3,43%
,100.00%,,,6,1,14%
,50.00%,50.00%,,7,2,29%
,100.00%,,Aditya Tushar Shinde,2,1,4%
33.30%,,66.70%,,3,3,13%
100.00%,,,,4,1,4%
,75.00%,25.00%,,5,4,17%
28.60%,42.90%,28.60%,,6,7,30%
14.30%,42.90%,42.90%,,7,7,30%
,,100.00%,Ajinkya Ashok Pa..,7,1,100%
,60.00%,40.00%,Akash Santosh,2,5,3%
16.70%,75.00%,8.30%,Shinde,3,12,6%
40.00%,33.30%,26.70%,,4,15,8%
48.10%,25.90%,25.90%,,5,27,14%
18.60%,67.40%,14.00%,,6,43,22%
21.50%,51.60%,26.90%,,7,93,48%
,,100.00%,Akash Shinde,3,1,4%
50.00%,25.00%,25.00%,,4,4,15%
25.00%,,75.00%,,5,4,15%
44.40%,44.40%,11.10%,,6,9,33%
33.30%,11.10%,55.60%,,7,9,33%
,100.00%,,Aslam Mustafa Inamdar,1,3,1%
12.50%,75.00%,12.50%,,2,8,3%
48.00%,28.00%,24.00%,,3,25,9%
51.60%,32.30%,16.10%,,4,31,12%
55.60%,23.80%,20.60%,,5,63,24%
35.10%,54.40%,10.50%,,6,57,21%
29.60%,56.80%,13.60%,,7,81,30%
,,100.00%,Badal Taqdir Singh,7,1,100%
,,100.00%,D Mahindraprasad,4,1,17%
33.30%,33.30%,33.30%,,5,3,50%
50.00%,,50.00%,,6,2,33%
100.00%,,,Fazel Atrachali,4,1,25%
100.00%,,,,5,2,50%
,,100.00%,,6,1,25%
,100.00%,,Gaurav Khatri,1,1,17%
80.00%,,20.00%,,7,5,83%
,100.00%,,Govind Gurjar,3,1,33%
50.00%,,50.00%,,7,2,67%
50.00%,,50.00%,Mohammad Esmaeil Nabibakhsh,2,2,3%
80.00%,,20.00%,,3,5,8%
71.40%,14.30%,14.30%,,4,7,11%
75.00%,6.30%,18.80%,,5,16,26%
53.80%,23.10%,23.10%,,6,13,21%
36.80%,31.60%,31.60%,,7,19,31%
,100.00%,,Mohammad Nabibakhsh,2,1,7%
100.00%,,,,4,4,29%
50.00%,,50.00%,,5,4,29%
25.00%,75.00%,,,6,4,29%
100.00%,,,,7,1,7%
,100.00%,,Mohit Goyat,1,2,1%
,75.00%,25.00%,,2,16,6%
36.00%,44.00%,20.00%,,3,25,10%
50.00%,37.00%,13.00%,,4,46,18%
43.10%,26.20%,30.80%,,5,65,25%
46.30%,36.60%,17.10%,,6,41,16%
46.80%,41.90%,11.30%,,7,62,24%
,100.00%,,Pankaj Mohite,1,2,2%
28.60%,57.10%,14.30%,,2,7,6%
16.70%,58.30%,25.00%,,3,12,11%
33.30%,38.90%,27.80%,,4,18,16%
44.80%,31.00%,24.10%,,5,29,26%
42.90%,35.70%,21.40%,,6,14,13%
39.30%,50.00%,10.70%,,7,28,25%
66.70%,,33.30%,Rakesh Bhalle Ra..,7,3,100%
,,100.00%,Sanket Sawant,3,1,100%
,100.00%,,Saurabh,2,1,6%
,50.00%,50.00%,,4,2,13%
60.00%,40.00%,,,5,5,31%
,33.30%,66.70%,,6,3,19%
40.00%,40.00%,20.00%,,7,5,31%
