season,team_name,Raider Name,Number of Defenders,Total Raids,% of Raids,Empty,Successful,Unsuccessful
PKL-09,Bengal Warriors,Ajinkya Kapre,4,12,40%,50.00%,16.70%,33.30%
PKL-09,Bengal Warriors,,5,5,17%,20.00%,,80.00%
PKL-09,Bengal Warriors,,6,3,10%,33.30%,66.70%,
PKL-09,Bengal Warriors,,7,10,33%,30.00%,20.00%,50.00%
PKL-09,Bengal Warriors,Akash Pikalmunde,5,2,14%,,,100.00%
PKL-09,Bengal Warriors,,6,5,36%,,100.00%,
PKL-09,Bengal Warriors,,7,7,50%,14.30%,14.30%,71.40%
PKL-09,Bengal Warriors,Ashish Kumar,5,2,25%,100.00%,,
PKL-09,Bengal Warriors,,6,1,13%,100.00%,,
PKL-09,Bengal Warriors,,7,5,63%,80.00%,,20.00%
PKL-09,Bengal Warriors,Aslam Thambi,3,2,11%,50.00%,50.00%,
PKL-09,Bengal Warriors,,4,2,11%,,,100.00%
PKL-09,Bengal Warriors,,5,3,17%,,33.30%,66.70%
PKL-09,Bengal Warriors,,6,3,17%,33.30%,33.30%,33.30%
PKL-09,Bengal Warriors,,7,8,44%,25.00%,12.50%,62.50%
PKL-09,Bengal Warriors,Deepak Hooda,1,2,2%,,100.00%,
PKL-09,Bengal Warriors,,2,3,2%,,33.30%,66.70%
PKL-09,Bengal Warriors,,3,5,4%,20.00%,60.00%,20.00%
PKL-09,Bengal Warriors,,4,19,15%,42.10%,26.30%,31.60%
PKL-09,Bengal Warriors,,5,33,27%,45.50%,36.40%,18.20%
PKL-09,Bengal Warriors,,6,19,15%,42.10%,31.60%,26.30%
PKL-09,Bengal Warriors,,7,43,35%,48.80%,25.60%,25.60%
PKL-09,Bengal Warriors,Maninder Singh,1,1,0%,,100.00%,
PKL-09,Bengal Warriors,,2,28,8%,,89.30%,10.70%
PKL-09,Bengal Warriors,,3,32,9%,28.10%,46.90%,25.00%
PKL-09,Bengal Warriors,,4,38,10%,68.40%,10.50%,21.10%
PKL-09,Bengal Warriors,,5,40,11%,55.00%,30.00%,15.00%
PKL-09,Bengal Warriors,,6,86,24%,14.00%,66.30%,19.80%
PKL-09,Bengal Warriors,,7,138,38%,18.10%,52.20%,29.70%
PKL-09,Bengal Warriors,Manoj Gowda,2,1,2%,,100.00%,
PKL-09,Bengal Warriors,,3,2,4%,,50.00%,50.00%
PKL-09,Bengal Warriors,,4,7,13%,71.40%,14.30%,14.30%
PKL-09,Bengal Warriors,,5,17,30%,52.90%,17.60%,29.40%
PKL-09,Bengal Warriors,,6,6,11%,16.70%,83.30%,
PKL-09,Bengal Warriors,,7,23,41%,43.50%,39.10%,17.40%
PKL-09,Bengal Warriors,Parshant Kumar,2,1,9%,,100.00%,
PKL-09,Bengal Warriors,,3,1,9%,,,100.00%
PKL-09,Bengal Warriors,,4,1,9%,100.00%,,
PKL-09,Bengal Warriors,,5,1,9%,100.00%,,
PKL-09,Bengal Warriors,,6,1,9%,100.00%,,
PKL-09,Bengal Warriors,,7,6,55%,33.30%,16.70%,50.00%
PKL-09,Bengal Warriors,R Guhan,4,1,7%,,,100.00%
PKL-09,Bengal Warriors,,5,5,36%,20.00%,40.00%,40.00%
PKL-09,Bengal Warriors,,6,2,14%,,100.00%,
PKL-09,Bengal Warriors,,7,6,43%,,50.00%,50.00%
PKL-09,Bengal Warriors,Rohit,5,1,11%,100.00%,,
PKL-09,Bengal Warriors,,6,2,22%,,100.00%,
PKL-09,Bengal Warriors,,7,6,67%,,50.00%,50.00%
PKL-09,Bengal Warriors,Shrikant Jadhav,1,1,0%,,100.00%,
PKL-09,Bengal Warriors,,2,3,1%,,33.30%,66.70%
PKL-09,Bengal Warriors,,3,16,6%,50.00%,31.30%,18.80%
PKL-09,Bengal Warriors,,4,31,12%,45.20%,29.00%,25.80%
PKL-09,Bengal Warriors,,5,60,24%,43.30%,30.00%,26.70%
PKL-09,Bengal Warriors,,6,44,18%,31.80%,40.90%,27.30%
PKL-09,Bengal Warriors,,7,95,38%,31.60%,49.50%,18.90%
PKL-09,Bengal Warriors,Shubham Shinde,4,1,13%,100.00%,,
PKL-09,Bengal Warriors,,5,2,25%,100.00%,,
PKL-09,Bengal Warriors,,6,1,13%,,,100.00%
PKL-09,Bengal Warriors,,7,4,50%,100.00%,,
PKL-09,Bengal Warriors,Surender Nada,6,1,20%,100.00%,,
PKL-09,Bengal Warriors,,7,4,80%,100.00%,,
PKL-09,Bengal Warriors,Suyog Gaikar,4,2,18%,50.00%,,50.00%
PKL-09,Bengal Warriors,,5,1,9%,100.00%,,
PKL-09,Bengal Warriors,,7,8,73%,12.50%,37.50%,50.00%
PKL-09,Bengal Warriors,Vaibhav Garje,7,1,100%,,,100.00%
PKL-09,Bengal Warriors,Vinod Kumar,5,1,50%,100.00%,,
PKL-09,Bengal Warriors,,6,1,50%,,,100.00%
PKL-09,Bengaluru Bulls,Bharat,2,1,3%,,100.00%,
PKL-09,Bengaluru Bulls,,3,3,9%,33.30%,33.30%,33.30%
PKL-09,Bengaluru Bulls,,4,5,15%,,80.00%,20.00%
PKL-09,Bengaluru Bulls,,5,4,12%,25.00%,50.00%,25.00%
PKL-09,Bengaluru Bulls,,6,9,26%,11.10%,33.30%,55.60%
PKL-09,Bengaluru Bulls,,7,12,35%,16.70%,66.70%,16.70%
PKL-09,Bengaluru Bulls,Bharat Naresh,1,1,0%,,100.00%,
PKL-09,Bengaluru Bulls,,2,21,6%,,81.00%,19.00%
PKL-09,Bengaluru Bulls,,3,43,12%,14.00%,67.40%,18.60%
PKL-09,Bengaluru Bulls,,4,43,12%,14.00%,55.80%,30.20%
