,tour_name,result_code,series_id,end_date,event_sub_status,start_date,event_status,winning_margin,venue_id,sport,venue_name,game_id,event_stage,event_name,league_code,series_name,tour_id,venue_gmt_offset,team1_name,team1_score,team1_highlight,team2_name,team2_score,team2_highlight,winner,team1_player1_name,team1_player1_id,team1_player1_value,team1_player1_type,team1_player2_name,team1_player2_id,team1_player2_value,team1_player2_type,team1_player3_name,team1_player3_id,team1_player3_value,team1_player3_type,team1_player4_name,team1_player4_id,team1_player4_value,team1_player4_type,team1_player5_name,team1_player5_id,team1_player5_value,team1_player5_type,team2_player1_name,team2_player1_id,team2_player1_value,team2_player1_type,team2_player2_name,team2_player2_id,team2_player2_value,team2_player2_type,team2_player3_name,team2_player3_id,team2_player3_value,team2_player3_type,team2_player4_name,team2_player4_id,team2_player4_value,team2_player4_type,team2_player5_name,team2_player5_id,team2_player5_value,team2_player5_type,win_by_coin_toss,extra_time,golden_raid
0,"Pro Kabaddi League Season 10, 2023",W,44,2023-12-02 20:00+05:30,Gujarat Giants won by 6 Pts,2023-12-02 20:00+05:30,Match Completed,6,1023,kabaddi,"EKA Arena by TransStadia, Ahmedabad",3029,League,Match 1,pkl,"Pro Kabaddi League Season 10, 2023",44,+05:30,Gujarat Giants,38,true,Telugu Titans,32,false,Gujarat Giants,Fazel Atrachali,259,3,Defender,Sombir ,3000,2,Defender,Narender Hooda,629,0,All Rounder,Arkam Shaikh,2297,0,All-Rounder,Mohammad Nabibakhsh,3176,4,All-Rounder,Pawan Kumar,318,11,Raider,Parvesh Bhainswal,357,0,Defender - Left Cover,Rajnish ,2290,5,Raider,Shankar Gadai,5039,1,All-Rounder,Ajit Pawar,5174,0,Defender - Left Cover,,False,False
1,"Pro Kabaddi League Season 10, 2023",W,44,2023-12-02 21:00+05:30,U Mumba won by 3 Pts,2023-12-02 21:00+05:30,Match Completed,3,1023,kabaddi,"EKA Arena by TransStadia, Ahmedabad",3030,League,Match 2,pkl,"Pro Kabaddi League Season 10, 2023",44,+05:30,U Mumba,34,true,U.P. Yoddhas,31,false,U Mumba,Mahender Singh,769,2,Defender - Left Cover,Guman Singh,3032,5,Raider,Rinku ,3964,6,Defender - Right Corner,Amirmohammad Zafardanesh,5252,12,All-Rounder,,,,,Vijay Malik,3081,5,All-Rounder,Nitesh Kumar,3088,1,Defender,Gurdeep ,2041,2,All-Rounder,Sumit ,3240,2,Defender - Left Corner,Surender Gill,3241,7,Raider,,False,False
2,"Pro Kabaddi League Season 10, 2023",W,44,2023-12-03 20:00+05:30,Tamil Thalaivas won by 11 Pts,2023-12-03 20:00+05:30,Match Completed,11,1023,kabaddi,"EKA Arena by TransStadia, Ahmedabad",3031,League,Match 3,pkl,"Pro Kabaddi League Season 10, 2023",44,+05:30,Tamil Thalaivas,42,true,Dabang Delhi K.C.,31,false,Tamil Thalaivas,Ajinkya Ashok Pawar,3097,21,Raider,Nitesh Kumar,5156,1,Defender - Left Corner,,,,,,,,,,,,,Vishal Bhardwaj,3083,2,Defender,Naveen Kumar,2296,14,Raider,Manjeet ,3965,0,Raider,Ashu Malik,4947,9,Raider,Yogesh ,5144,1,Defender - Right Corner,,False,False
3,"Pro Kabaddi League Season 10, 2023",W,44,2023-12-03 21:00+05:30,Gujarat Giants won by 3 Pts,2023-12-03 21:00+05:30,Match Completed,3,1023,kabaddi,"EKA Arena by TransStadia, Ahmedabad",3032,League,Match 4,pkl,"Pro Kabaddi League Season 10, 2023",44,+05:30,Gujarat Giants,34,true,Bengaluru Bulls,31,false,Gujarat Giants,Rohit Gulia,3023,3,All-Rounder,Narender Hooda,629,0,All Rounder,Sourav Gulia,3593,0,Defender,,,,,,,,,Surjeet Singh,322,2,Defender - Right Cover,Vishal ,3159,3,Defender - Left Cover,Ponparthiban Subramanian,3101,0,Defender-Right Cover,Saurabh Nandal,3228,2,Defender - Right Corner,Aman ,4972,3,Defender - Left Corner,,False,False
4,"Pro Kabaddi League Season 10, 2023",W,44,2023-12-04 20:00+05:30,Puneri Paltan won by 4 Pts,2023-12-04 20:00+05:30,Match Completed,4,1023,kabaddi,"EKA Arena by TransStadia, Ahmedabad",3033,League,Match 5,pkl,"Pro Kabaddi League Season 10, 2023",44,+05:30,Puneri Paltan,37,true,Jaipur Pink Panthers,33,false,Puneri Paltan,Sanket Sawant,3234,2,Defender - Left Cover,Pankaj Mohite,3233,2,Raider,Abinesh Nadarajan,4192,2,Defender - Right Cover,Mohammadreza Chiyaneh,4925,5,All-Rounder,Aslam Inamdar,4960,10,All-rounder,Sunil Kumar,368,3,Defender,V Ajith Kumar,3053,5,Raider,Ankush ,3574,0,Defender - Left Corner,Sahul Kumar,4769,1,Defender - Right Corner,Reza Mirbagheri,5022,0,Defender,,False,False
5,"Pro Kabaddi League Season 10, 2023",W,44,2023-12-04 21:00+05:30,Bengal Warriors won by 2 Pts,2023-12-04 21:00+05:30,Match Completed,2,1023,kabaddi,"EKA Arena by TransStadia, Ahmedabad",3034,League,Match 6,pkl,"Pro Kabaddi League Season 10, 2023",44,+05:30,Bengaluru Bulls,30,false,Bengal Warriors,32,true,Bengal Warriors,Surjeet Singh,322,2,Defender - Right Cover,Vikash Khandola,366,3,Raider,Vishal ,3159,4,Defender - Left Cover,Saurabh Nandal,3228,0,Defender - Right Corner,Aman ,4972,2,Defender - Left Corner,Maninder Singh,143,11,Raider,Shrikant Jadhav,106,3,Raider,Shubham Shinde,3103,4,Defender - Right Corner,Vishwas S,4757,4,Raider,Vaibhav Garje,5114,2,Defender - Right Cover,,False,False
6,"Pro Kabaddi League Season 10, 2023",W,44,2023-12-05 20:00+05:30,Gujarat Giants won by 2 Pts,2023-12-05 20:00+05:30,Match Completed,2,1023,kabaddi,"EKA Arena by TransStadia, Ahmedabad",3035,League,Match 7,pkl,"Pro Kabaddi League Season 10, 2023",44,+05:30,Gujarat Giants,39,true,U Mumba,37,false,Gujarat Giants,Fazel Atrachali,259,5,Defender,Rohit Gulia,3023,7,All-Rounder,Sonu ,3128,11,Raider,Sourav Gulia,3593,2,Defender,Rakesh ,3966,9,Raider,Mahender Singh,769,5,Defender - Left Cover,Surinder Singh,3086,0,Defender,Visvanth V,5046,3,All- Rounder,Pranay Rane,5117,5,Raider,Amirmohammad Zafardanesh,5252,10,All-Rounder,,False,False
7,"Pro Kabaddi League Season 10, 2023",W,44,2023-12-06 21:00+05:30,Patna Pirates won by 22 Pts,2023-12-06 21:00+05:30,Match Completed,22,1023,kabaddi,"EKA Arena by TransStadia, Ahmedabad",3036,League,Match 8,pkl,"Pro Kabaddi League Season 10, 2023",44,+05:30,Telugu Titans,28,false,Patna Pirates,50,true,Patna Pirates,Pawan Kumar,318,11,Raider,,,,,,,,,,,,,,,,,Manjeet ,763,8,Raider,Sachin ,757,14,Raider,Neeraj Kumar,3107,4,Defender - Right Cover,Sajin Chandrasekar,3343,3,All-Rounder,Krishan ,4949,2,Defender,,False,False
8,"Pro Kabaddi League Season 10, 2023",W,44,2023-12-06 21:00+05:30,U.P. Yoddhas won by 30 Pts,2023-12-06 21:00+05:30,Match Completed,30,1023,kabaddi,"EKA Arena by TransStadia, Ahmedabad",3037,League,Match 9,pkl,"Pro Kabaddi League Season 10, 2023",44,+05:30,U.P. Yoddhas,57,true,Haryana Steelers,27,false,U.P. Yoddhas,Pardeep Narwal,197,12,Raider,Vijay Malik,3081,2,All-Rounder,Harendra Kumar,3138,0,Defender - Left Cover,Sumit ,3240,8,Defender - Left Corner,Nitin Panwar,3039,0,All-Rounder,Rahul Sethpal,4186,3,Defender - Right Corner,,,,,,,,,,,,,,,,,,False,False
9,"Pro Kabaddi League Season 10, 2023",T,44,2023-12-07 20:00+05:30,Match Tied,2023-12-07 20:00+05:30,Match Completed,,1023,kabaddi,"EKA Arena by TransStadia, Ahmedabad",3038,League,Match 10,pkl,"Pro Kabaddi League Season 10, 2023",44,+05:30,Bengal Warriors,28,false,Jaipur Pink Panthers,28,false,Tie,Maninder Singh,143,4,Raider,Shrikant Jadhav,106,7,Raider,Shubham Shinde,3103,0,Defender - Right Corner,Vaibhav Garje,5114,3,Defender - Right Cover,Aditya S. Shinde,5134,2,Defender - Left Corner,Sunil Kumar,368,2,Defender,Bhavani Rajput,660,10,Raider,Ankush ,3574,4,Defender - Left Corner,,,,,,,,,,False,False
