player_id,player_name,match_played,value,team_id,team,team_name,rank,position_id,position_name,team_full_name,points_per_match
318,Pawan Kumar,24,262,1,,BLR,1,8,raider,Bengaluru Bulls,10.916666666666666
2296,Naveen Kumar,23,251,2,,DEL,2,8,Raider,Dabang Delhi K.C.,10.91304347826087
197,Pardeep Narwal,22,234,6,,PAT,3,8,Raider,Patna Pirates,10.636363636363637
2026,Siddharth Desai,22,177,8,,HYD,4,8,Raider,Telugu Titans,8.045454545454545
143,Maninder Singh,20,171,4,,KOL,5,8,raider,Bengal Warriors,8.55
366,Vikash Khandola,20,146,28,,HAR,6,8,raider,Haryana Steelers,7.3
2028,Abhishek Singh,21,140,5,,MUM,7,8,Raider,U Mumba,6.666666666666667
41,Deepak Hooda,20,113,3,,JAI,8,0,All Rounder,Jaipur Pink Panthers,5.65
106,Shrikant Jadhav,22,112,30,,U.P.,9,8,raider,U.P. Yoddha,5.090909090909091
81,Rahul Chaudhari,22,109,29,,CHE,10,8,Raider,Tamil Thalaivas,4.954545454545454
3023,Rohit Gulia,22,107,31,,GUJ,11,0,All Rounder,Gujarat Giants,4.863636363636363
763,Manjeet ,22,102,7,,PUN,12,8,raider,Puneri Paltan,4.636363636363637
3053,V Ajith Kumar,19,101,29,,CHE,13,8,Raider,Tamil Thalaivas,5.315789473684211
3054,Vinay ,23,90,28,,HAR,14,8,Raider,Haryana Steelers,3.9130434782608696
36,Chandran Ranjit,22,89,2,,DEL,15,8,Raider,Dabang Delhi K.C.,4.045454545454546
3233,Pankaj Mohite,16,84,7,,PUN,16,8,Raider,Puneri Paltan,5.25
2024,Arjun Deshwal,19,81,5,,MUM,17,8,Raider,U Mumba,4.2631578947368425
3176,Mohammad Nabibakhsh,23,75,4,,KOL,18,0,All Rounder,Bengal Warriors,3.260869565217391
219,K.Prapanjan ,20,73,4,,KOL,19,8,raider,Bengal Warriors,3.65
326,Rohit Kumar,19,72,1,,BLR,20,8,raider,Bengaluru Bulls,3.789473684210526
