match_played,value,team_id,team_name,rank,points_per_match
24,14.54,7,Puneri Paltan,1,0.6058333333333333
22,13.41,29,Tamil Thalaivas,2,0.6095454545454545
25,13.16,28,Haryana Steelers,3,0.5264
23,11.3,3,Jaipur Pink Panthers,4,0.491304347826087
22,11.18,1,Bengaluru Bulls,5,0.5081818181818182
24,11.08,6,Patna Pirates,6,0.46166666666666667
23,10.83,31,Gujarat Giants,7,0.4708695652173913
22,10.55,8,Telugu Titans,8,0.47954545454545455
23,10.39,2,Dabang Delhi K.C.,9,0.45173913043478264
22,10.32,5,U Mumba,10,0.4690909090909091
22,10.18,30,U.P. Yoddhas,11,0.4627272727272727
22,9.27,4,Bengal Warriors,12,0.42136363636363633
