match_played,value,team_id,team_name,rank,points_per_match
26,26,6,Patna Pirates,1,1.0
23,23,30,U.P. Yoddhas,2,1.0
22,13,3,Jaipur Pink Panthers,3,0.5909090909090909
24,12,7,Puneri Paltan,4,0.5
23,12,28,Haryana Steelers,5,0.5217391304347826
24,11,4,Bengal Warriors,6,0.4583333333333333
24,11,31,Gujarat Giants,7,0.4583333333333333
22,10,5,U Mumba,8,0.45454545454545453
22,10,8,Telugu Titans,9,0.45454545454545453
22,6,2,Dabang Delhi K.C.,10,0.2727272727272727
22,5,1,Bengaluru Bulls,11,0.22727272727272727
22,5,29,Tamil Thalaivas,12,0.22727272727272727
