match_played,value,team_id,team_name,rank,points_per_match
26,55,6,Patna Pirates,1,2.1153846153846154
24,36,31,Gujarat Giants,2,1.5
24,32,7,Puneri Paltan,3,1.3333333333333333
22,28,1,Bengaluru Bulls,4,1.2727272727272727
24,27,4,Bengal Warriors,5,1.125
23,27,28,Haryana Steelers,6,1.173913043478261
22,25,8,Telugu Titans,7,1.1363636363636365
23,23,30,U.P. Yoddhas,8,1.0
22,22,3,Jaipur Pink Panthers,9,1.0
22,21,5,U Mumba,10,0.9545454545454546
22,19,29,Tamil Thalaivas,11,0.8636363636363636
22,18,2,Dabang Delhi K.C.,12,0.8181818181818182
