match_played,value,team_id,team_name,rank,points_per_match
22,31,8,Telugu Titans,1,1.4090909090909092
22,30,7,Puneri Paltan,2,1.3636363636363635
25,25,30,U.P. Yoddha,3,1.0
22,23,3,Jaipur Pink Panthers,4,1.0454545454545454
24,18,2,Dabang Delhi K.C.,5,0.75
25,16,31,Gujarat Giants,6,0.64
22,15,29,Tamil Thalaivas,7,0.6818181818181818
23,15,5,U Mumba,8,0.6521739130434783
22,15,6,Patna Pirates,9,0.6818181818181818
23,14,4,Bengal Warriors,10,0.6086956521739131
22,13,28,Haryana Steelers,11,0.5909090909090909
24,11,1,Bengaluru Bulls,12,0.4583333333333333
