Team Line Up,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11
Team Name,Player Name,Position,,,Total Played,,Total Starts,,,,
Bengal Warriors,Surjeet Singh,Right Cover,Abc,,,24.0,,,24,,
,Shrikant Tewthia,All Rounder,Abc,,,23.0,,,23,,
,Ran Singh,All Rounder,Abc,,,23.0,,,23,,
,Maninder Singh,Raider,Abc,,,21.0,,,21,,
,Jang Kun Lee,Raider,Abc,,,21.0,,,20,,
,Vinod Kumar,Raider,Abc,,19,,,15,,,
,Bhupender Singh,All Rounder,Abc,,17,,4,,,,
,Deepak Narwal,Raider,Abc,,16,,,11,,,
,Young Chang Ko,Left Cover,Abc,,14,,,12,,,
,Rahul Kumar,Right Cover,Abc,,10,,,9,,,
,Kuldeep,Raider,Abc,5,,,0,,,,
,Vikash,Defender,Abc,4,,,1,,,,
,Virender,Raider,Abc,3,,,0,,,,
,Shashank Wankhede,Left Cover,Abc,3,,,3,,,,
,Ravindra Ramesh Kumawat,All Rounder,Abc 2,,,,1,,,,
,Anil Kumar,Raider,Abc 2,,,,0,,,,
,Sandeep Malik,Right Corner,Abc1,,,,1,,,,
,Amaresh Mondal,Left Cover,Abc0,,,,0,,,,
Bengaluru Bulls,Rohit Kumar,Raider,Abc,,,22.0,,,22,,
,Mahender Singh,Left Cover,Abc,,,22.0,,,22,,
,Ajay Kumar,Raider,Abc,,,22.0,,,20,,
,Ashish Kumar,Right Cover,Abc,,,20.0,,17,,,
,Ravinder Pahal,Right Corner,Abc,,19,,,19,,,
,Preetam Chhillar,All Rounder,Abc,,16,,,13,,,
,Kuldeep Singh,Left Corner,Abc,,16,,,13,,,
,Harish Naik,Raider,Abc,,14,,7,,,,
,Sunil Jaipal,All Rounder,Abc,,13,,5,,,,
,Sachin Kumar,Left Corner,Abc,,9,,8,,,,
,Gurvinder Singh,Raider,Abc,,9,,5,,,,
,Sumit Singh,Raider,Abc,4,,,0,,,,
,Amit Sheoran,Defender,Abc,4,,,1,,,,
,Pardeep Kandola,All Rounder,Abc,3,,,2,,,,
,Rohit,Raider,Abc 2,,,,0,,,,
,Sanjay Shrestha,All Rounder,Abc0,,,,0,,,,
,Ankit Sangwan,Raider,Abc0,,,,0,,,,
Dabang Delhi,Meraj Sheykh,All Rounder,Abc,,,20.0,,19,,,
,Viraj Vishnu Landge,Left Cover,Abc,,19,,,17,,,
,Anand Patil,Raider,Abc,,19,,4,,,,
,Abolfazl Maghsodlou,Raider,Abc,,19,,,16,,,
,Sunil,Left Corner,Abc,,18,,,15,,,
,Rohit Baliyan,Raider,Abc,,17,,,14,,,
,Nilesh Shinde,Right Corner,Abc,,15,,,15,,,
,Swapnil Shinde,Right Cover,Abc,,13,,7,,,,
,Bajirao Hodage,Right Cover,,,,,,,,,
Team Line Up,,,,,,,,,,,
Team Name,Player Name,Position,,,Total Played,,,,Total Starts,,
,Swapnil Shinde,Right Cover,,,,,,,,,
Dabang Delhi,Bajirao Hodage,Right Cover,Abc,,,,12,,,10.0,
,R. Sriram,Raider,Abc,,,,11,,5,,
,Satpal,Defender,Abc,,,,10,,6,,
,Tushar Bhoir,Right Cover,Abc,,,8.0,,,6,,
,Shubham Ashok Palkar,Raider,Abc,,,8.0,,,4,,
,Yatharth,All Rounder,Abc,,6,,,,6,,
,Vishal,All Rounder,Abc,,5,,,,4,,
,Tapas Pal,All Rounder,Abc,,5,,,,1,,
