Team Line Up,,,,
Team Name,Player Name,Position,Total Played,Total Starts
Bengal Warriors,Maninder Singh,Raider,22,22
,Abozar Mohajermighani,Right Corner,22,22
,Esmaeil Nabibakhsh,All Rounder,20,20
,Amit Nirwal,Left Cover,16,15
,Sukesh Hegde,Raider,15,13
,Ran Singh,All Rounder,14,14
,Rohit,All Rounder,12,2
,Darshan J,Right Cover,9,9
,Parveen Satpal,Left Cover,8,5
,Vijin Thangadurai,Right Cover,7,5
,Sachin Vittala,Left Corner,7,4
,Akash Pikalmunde,Null,7,2
,Vishal Mane,Right Cover,6,5
,Rohit Banne,Defender,6,1
,Manoj Gowda,All Rounder,6,5
,Ravindra Kumawat,All Rounder,5,2
,Rinku Narwal,Left Corner,4,4
,Anand V,Raider,3,1
,Tapas Pal,All Rounder,2,2
,Rishank Devadiga,Raider,1,1
Bengaluru Bulls,Saurabh Nandal,Left Corner,24,23
,Pawan Sehrawat,Raider,24,24
,Bharat Naresh,,23,19
,Aman,,23,22
,Mahender Singh,Left Cover,20,18
,Mayur Kadam,Null,19,19
,Chandran Ranjit,Raider,19,18
,More GB,Raider,15,6
,Mohit Sehrawat,Right Cover,11,8
,Deepak Narwal,Raider,10,3
,Dong Geon Lee,Raider,9,0
,Amit Sheoran,Defender,9,1
,Jaideep,Left Corner,8,1
,Ankit,Defender,6,5
,Abolfazl Maghsodloumahali,Raider,3,0
,Rohit Kumar,,2,1
,Rohit Sangwan,Null,0,0
Dabang Delhi,Sandeep Narwal,All Rounder,24,23
,Manjeet Chhillar,All Rounder,24,24
,Vijay Jaglan,Raider,23,23
,Ashu Malik,Raider,22,19
,Krishan Dhull,,21,11
,Jeeva Kumar,Defender,21,19
Dabang Delhi,Neeraj Narwal,Raider,19,4
,Joginder Narwal,Left Corner,19,19
,Naveen Kumar,Raider,17,17
,Mohammad Malak,,5,1
,Manjeet,All Rounder,5,1
,Ajay Thakur,Raider,5,3
,Vikash Kumar D,Defender,4,4
,Deepak Kala,,4,0
,Sushant Sail,Raider,3,0
,Balram,All Rounder,2,0
,Vinay Kumar,,1,0
,Nitin Panwar,Raider,1,0
,Sumit Bhainswal,Left Cover,0,0
,Mohit Bhaiswal,Right Cover,0,0
,Emad Sedaghatnia,Raider,0,0
Gujarat,Sunil Kumar,Right Cover,23,23
Fortunegiants,Parvesh Bhainswal,Left Cover,23,23
,Rakesh Sungroya,,22,18
,Hadi Oshtorak,All Rounder,21,6
,Girish Maruti Ernak,Left Corner,19,19
,Pardeep Kumar,Raider,17,7
,Mahendra Rajput,Raider,17,12
,Ajay Kumar,Raider,17,15
,Rakesh Narwal,Raider,16,14
,Ankit,Right Corner,11,9
,Ravinder Pahal,Right Corner,8,8
,Sumit Malik,Left Corner,5,3
,Rathan K,Raider,5,2
,Soleiman Pahlevani,Defender,4,1
,Sonu Singh,,2,1
,Maninder Singh,Null,2,0
,Harmanjit Singh,Raider,1,0
,Bhuvneshwar Gaur,Raider,1,0
,Vishav Chaudhary,Left Cover,0,0
Haryana Steelers,Vikash Kandola,Raider,22,22
,Ravi Kumar,Right Cover,22,16
,Mohit,,22,22
,Jaideep,,22,22
,Surender Nada,Left Corner,21,18
,Meetu,Null,16,12
,Vinay,Raider,15,9
,Rohit Gulia,All Rounder,15,12
,Ashish,Raider,15,9
,Akshay Kumar,Raider,,
Haryana Steelers,Akshay Kumar,Raider,7,4
,Mohammad Esmaeil,Raider,6,1
,Vijay Kumar,Left Corner,4,2
,Ankit,Null,4,3
,Shrikant Tewthia,All Rounder,3,2
,Rajesh Narwal,All Rounder,3,0
