PKL Live Dashboard,,,,,,,,,,,,,,,,
Team stats,,,,,,,,,,,,,,,,
,Team Stats,,,,,,,,,,,,,,,
Season,,,Total,Total,Total,Total,Touch raid points per,,,Bonus raid points per,,,Tackle points per,,,Super raids per match
PKL9,,Total,touch,bonus,tackle,super,,match,,,match,,,match,,
,Team Name,matches,points,points,points,raids,,,,,,,,,,
Team Name,Bengal Warriors,22,357,132,214,22,16,2,,6,,,9.7,,,1
All,Bengaluru Bulls,24,415,135,254,20,17,3,,5.6,,,10,6,,0.8
,Dabang Delhi,23,363,179,245,13,15,8,,7.8,,,10,7,,0.6
,Gujarat Fortunegiants,22,405,144,180,16,18,4,,6.5,,,8.2,,,0.7
,Haryana Steelers,22,347,111,224,13,15,8,,5,,,10,2,,0.6
,Jaipur Pink Panthers,24,401,118,290,11,16,7,,4.9,,,12,1,,0.5
,Patna Pirates,22,318,100,214,9,14,5,,4.5,,,9.7,,,0.4
,Puneri Paltan,24,395,112,252,11,16,5,,4.7,,,10,5,,0.5
,Tamil Thalaivas,24,351,136,271,11,14,6,,5.7,,,11,3,,0.5
,Telugu Titans,22,261,115,202,6,11,9,,5.2,,,9.2,,,0.3
,U Mumba,22,283,101,246,12,12,9,,4.6,,,11,2,,0.5
,UP Yoddha,23,372,132,224,20,16,2,,5.7,,,9.7,,,0.9
