Raider Name,Number of Defenders,Total Raids,% of Raids,Empty,Successful,Unsuccessful
Anil Kumar,7,1,100%,,,100.00%
Bhupender Singh,3,4,5%,75.00%,25.00%,
Bhupender Singh,4,8,10%,87.50%,,12.50%
Bhupender Singh,5,22,27%,63.60%,13.60%,22.70%
Bhupender Singh,6,12,14%,50.00%,41.70%,8.30%
Bhupender Singh,7,37,45%,48.60%,18.90%,32.40%
Deepak Narwal,1,1,1%,,100.00%,
Deepak Narwal,2,4,2%,,75.00%,25.00%
Deepak Narwal,3,11,6%,36.40%,45.50%,18.20%
Deepak Narwal,4,19,10%,31.60%,36.80%,31.60%
Deepak Narwal,5,42,22%,57.10%,14.30%,28.60%
Deepak Narwal,6,39,21%,30.80%,41.00%,28.20%
Deepak Narwal,7,71,38%,36.60%,49.30%,14.10%
Jang Kun Lee,1,1,0%,,100.00%,
Jang Kun Lee,2,9,4%,22.20%,66.70%,11.10%
Jang Kun Lee,3,7,3%,28.60%,28.60%,42.90%
Jang Kun Lee,4,14,7%,50.00%,35.70%,14.30%
Jang Kun Lee,5,32,15%,50.00%,18.80%,31.30%
Jang Kun Lee,6,44,21%,43.20%,45.50%,11.40%
Jang Kun Lee,7,105,50%,37.10%,40.00%,22.90%
Kuldeep,4,1,33%,100.00%,,
Kuldeep,5,2,67%,,,100.00%
Maninder Singh,1,4,1%,,100.00%,
Maninder Singh,2,26,7%,7.70%,80.80%,11.50%
Maninder Singh,3,20,5%,40.00%,45.00%,15.00%
Maninder Singh,4,29,8%,55.20%,34.50%,10.30%
Maninder Singh,5,51,14%,60.80%,15.70%,23.50%
Maninder Singh,6,89,24%,31.50%,43.80%,24.70%
Maninder Singh,7,148,40%,37.80%,46.60%,15.50%
Rahul Kumar,3,1,100%,100.00%,,
Ran Singh,1,1,4%,,100.00%,
Ran Singh,2,1,4%,,100.00%,
Ran Singh,4,2,7%,100.00%,,
Ran Singh,5,1,4%,100.00%,,
Ran Singh,6,5,19%,40.00%,40.00%,20.00%
Ran Singh,7,17,63%,41.20%,35.30%,23.50%
Ravindra Ramesh Kumawat,3,1,14%,,,100.00%
Ravindra Ramesh Kumawat,4,1,14%,,,100.00%
Ravindra Ramesh Kumawat,5,3,43%,66.70%,33.30%,
Ravindra Ramesh Kumawat,7,2,29%,,50.00%,50.00%
Shrikant Tewthia,6,2,40%,50.00%,,50.00%
Shrikant Tewthia,7,3,60%,,66.70%,33.30%
Surjeet Singh,3,1,2%,100.00%,,
Surjeet Singh,4,3,6%,100.00%,,
Surjeet Singh,5,10,19%,100.00%,,
Surjeet Singh,6,13,25%,92.30%,7.70%,
Surjeet Singh,7,25,48%,88.00%,8.00%,4.00%
Vinod Kumar,3,6,5%,100.00%,,
Vinod Kumar,4,16,13%,25.00%,37.50%,37.50%
Vinod Kumar,5,48,39%,56.30%,25.00%,18.80%
Vinod Kumar,6,24,20%,58.30%,12.50%,29.20%
Vinod Kumar,7,29,24%,44.80%,24.10%,31.00%
Virender,4,1,9%,,,100.00%
Virender,5,4,36%,25.00%,25.00%,50.00%
Virender,6,2,18%,50.00%,50.00%,
Virender,7,4,36%,,25.00%,75.00%
