Raider Name,Number of Defenders,Total Raids,% of Raids,Empty,Successful,Unsuccessful
Akshay Jadhav,4,2,5%,50.00%,,50.00%
Akshay Jadhav,5,18,46%,66.70%,5.60%,27.80%
Akshay Jadhav,6,5,13%,40.00%,40.00%,20.00%
Akshay Jadhav,7,14,36%,42.90%,42.90%,14.30%
Deepak Hooda,1,9,3%,,100.00%,
Deepak Hooda,2,11,3%,9.10%,63.60%,27.30%
Deepak Hooda,3,32,9%,40.60%,34.40%,25.00%
Deepak Hooda,4,55,15%,50.90%,25.50%,23.60%
Deepak Hooda,5,64,18%,62.50%,20.30%,17.20%
Deepak Hooda,6,87,24%,41.40%,37.90%,20.70%
Deepak Hooda,7,102,28%,33.30%,44.10%,22.50%
Dharmaraj Cheralathan,3,2,13%,100.00%,,
Dharmaraj Cheralathan,4,1,7%,100.00%,,
Dharmaraj Cheralathan,5,2,13%,100.00%,,
Dharmaraj Cheralathan,6,3,20%,100.00%,,
Dharmaraj Cheralathan,7,7,47%,100.00%,,
Girish Maruti Ernak,3,2,11%,100.00%,,
Girish Maruti Ernak,4,2,11%,100.00%,,
Girish Maruti Ernak,5,2,11%,100.00%,,
Girish Maruti Ernak,6,3,17%,100.00%,,
Girish Maruti Ernak,7,9,50%,66.70%,11.10%,22.20%
Monu,3,5,6%,60.00%,40.00%,
Monu,4,11,14%,81.80%,,18.20%
Monu,5,22,29%,54.50%,18.20%,27.30%
Monu,6,8,10%,37.50%,25.00%,37.50%
Monu,7,31,40%,58.10%,25.80%,16.10%
More G B,3,2,4%,100.00%,,
More G B,4,10,22%,50.00%,20.00%,30.00%
More G B,5,10,22%,40.00%,20.00%,40.00%
More G B,6,15,33%,13.30%,46.70%,40.00%
More G B,7,8,18%,50.00%,25.00%,25.00%
Rajesh Mondal,1,3,1%,,100.00%,
Rajesh Mondal,2,6,2%,16.70%,66.70%,16.70%
Rajesh Mondal,3,21,8%,38.10%,33.30%,28.60%
Rajesh Mondal,4,39,14%,53.80%,20.50%,25.60%
Rajesh Mondal,5,73,27%,53.40%,19.20%,27.40%
Rajesh Mondal,6,44,16%,27.30%,50.00%,22.70%
Rajesh Mondal,7,83,31%,47.00%,25.30%,27.70%
Ravi Kumar,7,2,100%,100.00%,,
Rinku Narwal,4,1,13%,100.00%,,
Rinku Narwal,5,1,13%,100.00%,,
Rinku Narwal,7,6,75%,83.30%,16.70%,
Rohit Kumar Choudary,2,3,7%,100.00%,,
Rohit Kumar Choudary,4,7,15%,42.90%,14.30%,42.90%
Rohit Kumar Choudary,5,11,24%,54.50%,27.30%,18.20%
Rohit Kumar Choudary,6,5,11%,60.00%,20.00%,20.00%
Rohit Kumar Choudary,7,20,43%,45.00%,25.00%,30.00%
Sandeep Narwal,1,1,1%,,100.00%,
Sandeep Narwal,2,16,14%,31.30%,62.50%,6.30%
Sandeep Narwal,3,29,25%,65.50%,27.60%,6.90%
Sandeep Narwal,4,15,13%,80.00%,6.70%,13.30%
Sandeep Narwal,5,13,11%,92.30%,,7.70%
Sandeep Narwal,6,17,15%,64.70%,29.40%,5.90%
Sandeep Narwal,7,26,22%,76.90%,19.20%,3.80%
Suresh Kumar,4,1,3%,100.00%,,
Suresh Kumar,5,1,3%,100.00%,,
Suresh Kumar,6,12,34%,33.30%,41.70%,25.00%
Suresh Kumar,7,21,60%,38.10%,33.30%,28.60%
Umesh Mhatre,4,1,9%,,,100.00%
Umesh Mhatre,5,3,27%,33.30%,,66.70%
Umesh Mhatre,6,2,18%,50.00%,50.00%,
Umesh Mhatre,7,5,45%,40.00%,,60.00%
