Raider Name,Number of Defenders,Total Raids,% of Raids,Empty,Successful,Unsuccessful
Ajay Thakur,3,1,8%,100.00%,,
,5,3,23%,66.70%,,33.30%
,7,9,69%,22.20%,33.30%,44.40%
Ashu Malik,2,3,2%,,66.70%,33.30%
,3,4,3%,50.00%,25.00%,25.00%
,4,26,19%,42.30%,26.90%,30.80%
,5,49,36%,44.90%,26.50%,28.60%
,6,20,14%,40.00%,25.00%,35.00%
,7,36,26%,36.10%,36.10%,27.80%
Balram,4,1,25%,100.00%,,
,5,1,25%,100.00%,,
,7,2,50%,50.00%,,50.00%
Joginder Narwal,7,1,100%,,,100.00%
Manjeet,2,1,6%,,,100.00%
,4,5,29%,20.00%,20.00%,60.00%
,5,3,18%,66.70%,,33.30%
,6,2,12%,,50.00%,50.00%
,7,6,35%,16.70%,66.70%,16.70%
Manjeet Chhillar,4,1,20%,100.00%,,
,6,2,40%,100.00%,,
,7,2,40%,50.00%,50.00%,
Naveen Kumar,1,2,1%,,100.00%,
,2,25,7%,4.00%,88.00%,8.00%
,3,21,6%,9.50%,57.10%,33.30%
,4,48,14%,35.40%,52.10%,12.50%
,5,69,20%,56.50%,27.50%,15.90%
,6,70,21%,21.40%,61.40%,17.10%
,7,103,30%,26.20%,61.20%,12.60%
Neeraj Narwal,2,2,2%,,100.00%,
,3,11,11%,54.50%,18.20%,27.30%
,4,9,9%,11.10%,55.60%,33.30%
,5,31,32%,48.40%,19.40%,32.30%
,6,19,20%,31.60%,31.60%,36.80%
,7,25,26%,16.00%,48.00%,36.00%
Nitin Panwar,5,2,50%,,50.00%,50.00%
,6,1,25%,,,100.00%
,7,1,25%,,100.00%,
Sandeep Narwal,1,1,1%,,100.00%,
,2,5,7%,40.00%,20.00%,40.00%
,3,5,7%,60.00%,40.00%,
,4,9,13%,55.60%,22.20%,22.20%
,5,9,13%,100.00%,,
,6,8,12%,50.00%,50.00%,
,7,31,46%,58.10%,25.80%,16.10%
Sushant Sail,4,2,50%,50.00%,,50.00%
,7,2,50%,,50.00%,50.00%
Vijay Jaglan,1,1,0%,,100.00%,
,2,1,0%,,100.00%,
,3,3,1%,66.70%,,33.30%
,4,22,8%,86.40%,4.50%,9.10%
,5,48,17%,64.60%,12.50%,22.90%
,6,82,29%,26.80%,56.10%,17.10%
,7,128,45%,25.80%,51.60%,22.70%
