Raider Name,Number of Defenders,Total Raids,% of Raids,Empty,Successful,Unsuccessful
Bharat,2,1,3%,,100.00%,
,3,3,9%,33.30%,33.30%,33.30%
,4,5,15%,,80.00%,20.00%
,5,4,12%,25.00%,50.00%,25.00%
,6,9,26%,11.10%,33.30%,55.60%
,7,12,35%,16.70%,66.70%,16.70%
Bharat Naresh,1,1,0%,,100.00%,
,2,21,6%,,81.00%,19.00%
,3,43,12%,14.00%,67.40%,18.60%
,4,43,12%,14.00%,55.80%,30.20%
,5,53,15%,17.00%,43.40%,39.60%
,6,69,19%,15.90%,66.70%,17.40%
,7,131,36%,15.30%,54.20%,30.50%
Harmanjit Singh,5,6,60%,66.70%,,33.30%
,7,4,40%,25.00%,,75.00%
Mahender Singh,6,1,7%,100.00%,,
,7,13,93%,92.30%,,7.70%
More G B,6,1,20%,100.00%,,
,7,4,80%,75.00%,,25.00%
Neeraj Narwal,1,2,1%,,100.00%,
,3,4,2%,75.00%,,25.00%
,4,18,9%,72.20%,16.70%,11.10%
,5,38,19%,65.80%,13.20%,21.10%
,6,57,29%,24.60%,49.10%,26.30%
,7,80,40%,47.50%,28.80%,23.80%
Sachin Narwal,3,1,2%,,,100.00%
,4,7,11%,42.90%,42.90%,14.30%
,5,9,14%,33.30%,44.40%,22.20%
,6,14,22%,14.30%,57.10%,28.60%
,7,33,52%,27.30%,36.40%,36.40%
Saurabh Nandal,4,1,50%,,100.00%,
,5,1,50%,,100.00%,
Vikash Kandola,1,1,0%,,100.00%,
,2,27,9%,3.70%,77.80%,18.50%
,3,11,4%,72.70%,27.30%,
,4,34,11%,50.00%,20.60%,29.40%
,5,55,18%,54.50%,21.80%,23.60%
,6,47,15%,42.60%,40.40%,17.00%
,7,131,43%,46.60%,32.80%,20.60%
Vikash Khandola,2,4,12%,,100.00%,
,3,2,6%,100.00%,,
,4,2,6%,100.00%,,
,5,7,21%,28.60%,42.90%,28.60%
,6,7,21%,42.90%,42.90%,14.30%
,7,11,33%,36.40%,36.40%,27.30%
