Raider Name,Number of Defenders,Total Raids,% of Raids,Empty,Successful,Unsuccessful
Ajith V Kumar,2,2,1%,,100.00%,
,3,23,13%,78.30%,17.40%,4.30%
,4,22,12%,31.80%,36.40%,31.80%
,5,47,26%,51.10%,27.70%,21.30%
,6,33,18%,42.40%,45.50%,12.10%
,7,55,30%,27.30%,54.50%,18.20%
Arjun Deshwal,1,2,0%,,100.00%,
,2,52,11%,5.80%,69.20%,25.00%
,3,37,8%,45.90%,35.10%,18.90%
,4,67,14%,26.90%,44.80%,28.40%
,5,67,14%,53.70%,28.40%,17.90%
,6,99,21%,16.20%,62.60%,21.20%
,7,141,30%,24.10%,58.90%,17.00%
Bhavani Rajput,2,3,4%,66.70%,33.30%,
,3,4,5%,50.00%,50.00%,
,4,12,16%,16.70%,50.00%,33.30%
,5,15,19%,40.00%,33.30%,26.70%
,6,11,14%,45.50%,18.20%,36.40%
,7,32,42%,34.40%,37.50%,28.10%
Devank,5,2,18%,50.00%,,50.00%
,6,1,9%,100.00%,,
,7,8,73%,12.50%,25.00%,62.50%
Lucky Sharma,7,1,100%,,,100.00%
Navneet,4,1,10%,,,100.00%
,5,2,20%,,,100.00%
,6,3,30%,66.70%,33.30%,
,7,4,40%,,75.00%,25.00%
Nitin Panwar,6,2,50%,,100.00%,
,7,2,50%,50.00%,50.00%,
Nitin Panwar (JP),5,2,33%,50.00%,,50.00%
,7,4,67%,25.00%,,75.00%
Rahul Chaudhari,1,2,1%,,100.00%,
,2,9,5%,11.10%,66.70%,22.20%
,3,17,9%,52.90%,35.30%,11.80%
,4,29,15%,48.30%,24.10%,27.60%
,5,47,25%,66.00%,14.90%,19.10%
,6,22,12%,40.90%,31.80%,27.30%
,7,63,33%,41.30%,39.70%,19.00%
Rahul Gorakh Dh..,6,1,100%,,,100.00%
Sahul Kumar,4,1,13%,100.00%,,
,7,7,88%,85.70%,14.30%,
Sunil Kumar,2,1,3%,100.00%,,
,3,7,23%,100.00%,,
,4,3,10%,100.00%,,
,5,7,23%,85.70%,14.30%,
,6,2,7%,100.00%,,
,7,10,33%,100.00%,,
V Ajith Kumar,2,4,12%,,75.00%,25.00%
,3,5,15%,60.00%,20.00%,20.00%
,4,7,21%,28.60%,14.30%,57.10%
,5,6,18%,,50.00%,50.00%
,6,7,21%,,85.70%,14.30%
,7,5,15%,,40.00%,60.00%
