Raider Name,Number of Defenders,Total Raids,% of Raids,Empty,Successful,Unsuccessful
Ankush,4,4,33%,25.00%,,75.00%
,5,4,33%,75.00%,,25.00%
,6,2,17%,50.00%,,50.00%
,7,2,17%,50.00%,,50.00%
Ashish,2,2,3%,,50.00%,50.00%
,3,5,8%,40.00%,40.00%,20.00%
,4,4,6%,75.00%,,25.00%
,5,13,20%,53.80%,,46.20%
,6,16,25%,25.00%,43.80%,31.30%
,7,24,38%,29.20%,41.70%,29.20%
Ashish (Bubla),2,14,7%,,78.60%,21.40%
,3,15,8%,60.00%,20.00%,20.00%
,4,28,14%,67.90%,17.90%,14.30%
,5,40,21%,62.50%,22.50%,15.00%
,6,41,21%,39.00%,36.60%,24.40%
,7,57,29%,40.40%,35.10%,24.60%
Guman Singh,2,10,4%,,80.00%,20.00%
,3,16,6%,56.30%,25.00%,18.80%
,4,39,14%,33.30%,35.90%,30.80%
,5,59,21%,62.70%,10.20%,27.10%
,6,56,20%,25.00%,55.40%,19.60%
,7,99,35%,33.30%,44.40%,22.20%
Harendra Kumar,6,3,50%,66.70%,,33.30%
,7,3,50%,100.00%,,
Heidarali Ekrami,2,2,3%,50.00%,50.00%,
,3,4,6%,50.00%,,50.00%
,4,11,17%,36.40%,27.30%,36.40%
,5,7,11%,14.30%,57.10%,28.60%
,6,15,23%,46.70%,13.30%,40.00%
,7,25,39%,28.00%,44.00%,28.00%
Jai Bhagwan,2,2,1%,,100.00%,
,3,10,6%,30.00%,20.00%,50.00%
,4,17,10%,35.30%,23.50%,41.20%
,5,40,25%,60.00%,17.50%,22.50%
,6,41,25%,34.10%,41.50%,24.40%
,7,53,33%,34.00%,37.70%,28.30%
Kamlesh,4,1,17%,,,100.00%
,7,5,83%,,40.00%,60.00%
Pranay Vinay Rane,2,1,2%,,100.00%,
,3,3,6%,,33.30%,66.70%
,4,3,6%,,,100.00%
,5,12,26%,16.70%,33.30%,50.00%
,6,8,17%,25.00%,50.00%,25.00%
,7,20,43%,20.00%,50.00%,30.00%
Rahul Sethpal,5,10,38%,100.00%,,
,6,2,8%,50.00%,,50.00%
Rahul Sethpal,7,14,54%,78.60%,7.10%,14.30%
Rinku H C,3,1,6%,100.00%,,
,4,1,6%,100.00%,,
,5,5,31%,100.00%,,
,6,3,19%,100.00%,,
,7,6,38%,83.30%,,16.70%
Rupesh,5,1,50%,,,100.00%
,6,1,50%,100.00%,,
Sachin,7,1,100%,,,100.00%
Shivam,4,4,15%,25.00%,,75.00%
,5,6,23%,83.30%,16.70%,
,6,7,27%,,71.40%,28.60%
,7,9,35%,55.60%,22.20%,22.20%
Shivansh Thakur,5,1,17%,100.00%,,
,6,3,50%,100.00%,,
,7,2,33%,100.00%,,
Surinder Singh,6,3,38%,100.00%,,
,7,5,63%,80.00%,,20.00%
Vishal Mane,7,1,100%,100.00%,,
