Season,Team Name,Player Name,Position,Total Played,Total Starts
PKL_S5,Bengal Warriors,Surjeet Singh,Right Cover,24,24
PKL_S5,Bengal Warriors,Shrikant Tewthia,All Rounder,23,23
PKL_S5,Bengal Warriors,Ran Singh,All Rounder,23,23
PKL_S5,Bengal Warriors,Maninder Singh,Raider,21,21
PKL_S5,Bengal Warriors,Jang Kun Lee,Raider,21,20
PKL_S5,Bengal Warriors,Vinod Kumar,Raider,19,15
PKL_S5,Bengal Warriors,Bhupender Singh,All Rounder,17,4
PKL_S5,Bengal Warriors,Deepak Narwal,Raider,16,11
PKL_S5,Bengal Warriors,Young Chang Ko,Left Cover,14,12
PKL_S5,Bengal Warriors,Rahul Kumar,Right Cover,10,9
PKL_S5,Bengal Warriors,Kuldeep,Raider,5,0
PKL_S5,Bengal Warriors,Vikash,Defender,4,1
PKL_S5,Bengal Warriors,Virender,Raider,3,0
PKL_S5,Bengal Warriors,Shashank Wankhede,Left Cover,3,3
PKL_S5,Bengal Warriors,Ravindra Ramesh Kumawat,All Rounder,2,1
PKL_S5,Bengal Warriors,Anil Kumar,Raider,2,0
PKL_S5,Bengal Warriors,Sandeep Malik,Right Corner,1,1
PKL_S5,Bengal Warriors,Amaresh Mondal,Left Cover,0,0
PKL_S5,Bengaluru Bulls,Rohit Kumar,Raider,22,22
PKL_S5,Bengaluru Bulls,Mahender Singh,Left Cover,22,22
PKL_S5,Bengaluru Bulls,Ajay Kumar,Raider,22,20
PKL_S5,Bengaluru Bulls,Ashish Kumar,Right Cover,20,17
PKL_S5,Bengaluru Bulls,Ravinder Pahal,Right Corner,19,19
PKL_S5,Bengaluru Bulls,Preetam Chhillar,All Rounder,16,13
PKL_S5,Bengaluru Bulls,Kuldeep Singh,Left Corner,16,13
PKL_S5,Bengaluru Bulls,Harish Naik,Raider,14,7
PKL_S5,Bengaluru Bulls,Sunil Jaipal,All Rounder,13,5
PKL_S5,Bengaluru Bulls,Sachin Kumar,Left Corner,9,8
