Defender Success rate,,,
Defender Name,Total Tackles,Successful Tackles,
Surender Nada,133,74,56%
Rakesh Singh Kumar,79,28,35%
Mohit Chhillar,74,35,47%
Vikas,52,24,46%
Neeraj Kumar,40,12,30%
Wazir Singh,28,11,39%
Parmod Narwal,15,2,13%
Kuldeep Singh,12,6,50%
Surjeet Singh,10,4,40%
Prashanth Kumar Rai,9,1,11%
Jeeva Gopal,9,3,33%
Deepak Kumar Dahiya,8,2,25%
Babu M,8,2,25%
Ashish Chhokar,7,3,43%
Deepak Kumar,6,3,50%
Vikash Khandola,2,0,0%
Mayur Shivtarkar,2,1,50%
Mahendra Singh Dhaka,2,0,0%
